,material,compatibility,chemical
0,,,Oils:Palm
1,ABS plastic,A - Excellent,Oils:Palm
2,Acetal (Delrin®),A - Excellent,Oils:Palm
3,Aluminum,N/A,Oils:Palm
4,Brass,N/A,Oils:Palm
5,Bronze,A - Excellent,Oils:Palm
6,Buna N (Nitrile),A - Excellent,Oils:Palm
7,Carbon graphite,N/A,Oils:Palm
8,Carbon Steel,N/A,Oils:Palm
9,Carpenter 20,A - Excellent,Oils:Palm
10,Cast iron,A - Excellent,Oils:Palm
11,Ceramic Al203,N/A,Oils:Palm
12,Ceramic magnet,N/A,Oils:Palm
13,ChemRaz (FFKM),N/A,Oils:Palm
14,Copper,A - Excellent,Oils:Palm
15,CPVC,A - Excellent,Oils:Palm
16,EPDM,A - Excellent,Oils:Palm
17,Epoxy,A - Excellent,Oils:Palm
18,Fluorocarbon (FKM),A - Excellent,Oils:Palm
19,Hastelloy-C®,N/A,Oils:Palm
20,Hypalon®,N/A,Oils:Palm
21,Hytrel®,N/A,Oils:Palm
22,Kalrez,N/A,Oils:Palm
23,Kel-F®,N/A,Oils:Palm
24,LDPE,A - Excellent,Oils:Palm
25,Natural rubber,N/A,Oils:Palm
26,Neoprene,D - Poor,Oils:Palm
27,NORYL®,N/A,Oils:Palm
28,Nylon,N/A,Oils:Palm
29,Polycarbonate,N/A,Oils:Palm
30,Polyetherether Ketone (PEEK),N/A,Oils:Palm
31,Polypropylene,N/A,Oils:Palm
32,Polyurethane,A - Excellent,Oils:Palm
33,PPS (Ryton®),N/A,Oils:Palm
34,PTFE,A - Excellent,Oils:Palm
35,PVC,A - Excellent,Oils:Palm
36,PVDF (Kynar®),A - Excellent,Oils:Palm
37,Silicone,N/A,Oils:Palm
38,stainless steel - 304,A - Excellent,Oils:Palm
39,stainless steel - 316,A - Excellent,Oils:Palm
40,Titanium,A - Excellent,Oils:Palm
41,Tygon®,N/A,Oils:Palm
42,Viton®,A - Excellent,Oils:Palm
