,material,compatibility,chemical
0,,,Oils:Peanut
1,ABS plastic,N/A,Oils:Peanut
2,Acetal (Delrin®),A - Excellent,Oils:Peanut
3,Aluminum,A - Excellent,Oils:Peanut
4,Brass,N/A,Oils:Peanut
5,Bronze,A - Excellent,Oils:Peanut
6,Buna N (Nitrile),A - Excellent,Oils:Peanut
7,Carbon graphite,N/A,Oils:Peanut
8,Carbon Steel,N/A,Oils:Peanut
9,Carpenter 20,A - Excellent,Oils:Peanut
10,Cast iron,A - Excellent,Oils:Peanut
11,Ceramic Al203,N/A,Oils:Peanut
12,Ceramic magnet,N/A,Oils:Peanut
13,ChemRaz (FFKM),A - Excellent,Oils:Peanut
14,Copper,A - Excellent,Oils:Peanut
15,CPVC,C - Fair,Oils:Peanut
16,EPDM,D - Poor,Oils:Peanut
17,Epoxy,A - Excellent,Oils:Peanut
18,Fluorocarbon (FKM),A - Excellent,Oils:Peanut
19,Hastelloy-C®,N/A,Oils:Peanut
20,Hypalon®,B - Good,Oils:Peanut
21,Hytrel®,N/A,Oils:Peanut
22,Kalrez,A - Excellent,Oils:Peanut
23,Kel-F®,N/A,Oils:Peanut
24,LDPE,A - Excellent,Oils:Peanut
25,Natural rubber,D - Poor,Oils:Peanut
26,Neoprene,B - Good,Oils:Peanut
27,NORYL®,N/A,Oils:Peanut
28,Nylon,N/A,Oils:Peanut
29,Polycarbonate,N/A,Oils:Peanut
30,Polyetherether Ketone (PEEK),A - Excellent,Oils:Peanut
31,Polypropylene,D - Poor,Oils:Peanut
32,Polyurethane,B - Good,Oils:Peanut
33,PPS (Ryton®),N/A,Oils:Peanut
34,PTFE,A - Excellent,Oils:Peanut
35,PVC,A1 - Excellent,Oils:Peanut
36,PVDF (Kynar®),A - Excellent,Oils:Peanut
37,Silicone,A - Excellent,Oils:Peanut
38,stainless steel - 304,A - Excellent,Oils:Peanut
39,stainless steel - 316,A - Excellent,Oils:Peanut
40,Titanium,A - Excellent,Oils:Peanut
41,Tygon®,A - Excellent,Oils:Peanut
42,Viton®,A - Excellent,Oils:Peanut
