,material,compatibility,chemical
0,,,Oils:Peppermint
1,ABS plastic,D - Poor,Oils:Peppermint
2,Acetal (Delrin®),D - Poor,Oils:Peppermint
3,Aluminum,D - Poor,Oils:Peppermint
4,Brass,N/A,Oils:Peppermint
5,Bronze,A - Excellent,Oils:Peppermint
6,Buna N (Nitrile),D - Poor,Oils:Peppermint
7,Carbon graphite,N/A,Oils:Peppermint
8,Carbon Steel,N/A,Oils:Peppermint
9,Carpenter 20,A - Excellent,Oils:Peppermint
10,Cast iron,N/A,Oils:Peppermint
11,Ceramic Al203,N/A,Oils:Peppermint
12,Ceramic magnet,N/A,Oils:Peppermint
13,ChemRaz (FFKM),N/A,Oils:Peppermint
14,Copper,N/A,Oils:Peppermint
15,CPVC,N/A,Oils:Peppermint
16,EPDM,N/A,Oils:Peppermint
17,Epoxy,A - Excellent,Oils:Peppermint
18,Fluorocarbon (FKM),A - Excellent,Oils:Peppermint
19,Hastelloy-C®,N/A,Oils:Peppermint
20,Hypalon®,N/A,Oils:Peppermint
21,Hytrel®,N/A,Oils:Peppermint
22,Kalrez,N/A,Oils:Peppermint
23,Kel-F®,N/A,Oils:Peppermint
24,LDPE,N/A,Oils:Peppermint
25,Natural rubber,N/A,Oils:Peppermint
26,Neoprene,D - Poor,Oils:Peppermint
27,NORYL®,N/A,Oils:Peppermint
28,Nylon,N/A,Oils:Peppermint
29,Polycarbonate,N/A,Oils:Peppermint
30,Polyetherether Ketone (PEEK),N/A,Oils:Peppermint
31,Polypropylene,N/A,Oils:Peppermint
32,Polyurethane,N/A,Oils:Peppermint
33,PPS (Ryton®),N/A,Oils:Peppermint
34,PTFE,A - Excellent,Oils:Peppermint
35,PVC,N/A,Oils:Peppermint
36,PVDF (Kynar®),A - Excellent,Oils:Peppermint
37,Silicone,N/A,Oils:Peppermint
38,stainless steel - 304,A - Excellent,Oils:Peppermint
39,stainless steel - 316,A - Excellent,Oils:Peppermint
40,Titanium,N/A,Oils:Peppermint
41,Tygon®,N/A,Oils:Peppermint
42,Viton®,A - Excellent,Oils:Peppermint
