,material,compatibility,chemical
0,,,Oils:Rapeseed
1,ABS plastic,N/A,Oils:Rapeseed
2,Acetal (Delrin®),A - Excellent,Oils:Rapeseed
3,Aluminum,N/A,Oils:Rapeseed
4,Brass,N/A,Oils:Rapeseed
5,Bronze,A - Excellent,Oils:Rapeseed
6,Buna N (Nitrile),D - Poor,Oils:Rapeseed
7,Carbon graphite,N/A,Oils:Rapeseed
8,Carbon Steel,N/A,Oils:Rapeseed
9,Carpenter 20,A - Excellent,Oils:Rapeseed
10,Cast iron,A - Excellent,Oils:Rapeseed
11,Ceramic Al203,N/A,Oils:Rapeseed
12,Ceramic magnet,N/A,Oils:Rapeseed
13,ChemRaz (FFKM),A - Excellent,Oils:Rapeseed
14,Copper,N/A,Oils:Rapeseed
15,CPVC,A - Excellent,Oils:Rapeseed
16,EPDM,A - Excellent,Oils:Rapeseed
17,Epoxy,A - Excellent,Oils:Rapeseed
18,Fluorocarbon (FKM),A - Excellent,Oils:Rapeseed
19,Hastelloy-C®,N/A,Oils:Rapeseed
20,Hypalon®,D - Poor,Oils:Rapeseed
21,Hytrel®,N/A,Oils:Rapeseed
22,Kalrez,A - Excellent,Oils:Rapeseed
23,Kel-F®,N/A,Oils:Rapeseed
24,LDPE,D - Poor,Oils:Rapeseed
25,Natural rubber,D - Poor,Oils:Rapeseed
26,Neoprene,B - Good,Oils:Rapeseed
27,NORYL®,N/A,Oils:Rapeseed
28,Nylon,N/A,Oils:Rapeseed
29,Polycarbonate,N/A,Oils:Rapeseed
30,Polyetherether Ketone (PEEK),N/A,Oils:Rapeseed
31,Polypropylene,D - Poor,Oils:Rapeseed
32,Polyurethane,B - Good,Oils:Rapeseed
33,PPS (Ryton®),N/A,Oils:Rapeseed
34,PTFE,A - Excellent,Oils:Rapeseed
35,PVC,N/A,Oils:Rapeseed
36,PVDF (Kynar®),A - Excellent,Oils:Rapeseed
37,Silicone,D - Poor,Oils:Rapeseed
38,stainless steel - 304,A - Excellent,Oils:Rapeseed
39,stainless steel - 316,A - Excellent,Oils:Rapeseed
40,Titanium,A - Excellent,Oils:Rapeseed
41,Tygon®,N/A,Oils:Rapeseed
42,Viton®,A - Excellent,Oils:Rapeseed
