,material,compatibility,chemical
0,,,Oils:Rosin
1,ABS plastic,N/A,Oils:Rosin
2,Acetal (Delrin®),N/A,Oils:Rosin
3,Aluminum,B1 - Good,Oils:Rosin
4,Brass,N/A,Oils:Rosin
5,Bronze,B1 - Good,Oils:Rosin
6,Buna N (Nitrile),A - Excellent,Oils:Rosin
7,Carbon graphite,A - Excellent,Oils:Rosin
8,Carbon Steel,C - Fair,Oils:Rosin
9,Carpenter 20,A - Excellent,Oils:Rosin
10,Cast iron,N/A,Oils:Rosin
11,Ceramic Al203,N/A,Oils:Rosin
12,Ceramic magnet,N/A,Oils:Rosin
13,ChemRaz (FFKM),N/A,Oils:Rosin
14,Copper,B - Good,Oils:Rosin
15,CPVC,N/A,Oils:Rosin
16,EPDM,N/A,Oils:Rosin
17,Epoxy,A - Excellent,Oils:Rosin
18,Fluorocarbon (FKM),A - Excellent,Oils:Rosin
19,Hastelloy-C®,A - Excellent,Oils:Rosin
20,Hypalon®,N/A,Oils:Rosin
21,Hytrel®,N/A,Oils:Rosin
22,Kalrez,N/A,Oils:Rosin
23,Kel-F®,N/A,Oils:Rosin
24,LDPE,B2 - Good,Oils:Rosin
25,Natural rubber,N/A,Oils:Rosin
26,Neoprene,N/A,Oils:Rosin
27,NORYL®,N/A,Oils:Rosin
28,Nylon,A1 - Excellent,Oils:Rosin
29,Polycarbonate,N/A,Oils:Rosin
30,Polyetherether Ketone (PEEK),N/A,Oils:Rosin
31,Polypropylene,A2 - Excellent,Oils:Rosin
32,Polyurethane,N/A,Oils:Rosin
33,PPS (Ryton®),N/A,Oils:Rosin
34,PTFE,A - Excellent,Oils:Rosin
35,PVC,C1 - Fair,Oils:Rosin
36,PVDF (Kynar®),A - Excellent,Oils:Rosin
37,Silicone,N/A,Oils:Rosin
38,stainless steel - 304,A1 - Excellent,Oils:Rosin
39,stainless steel - 316,A1 - Excellent,Oils:Rosin
40,Titanium,N/A,Oils:Rosin
41,Tygon®,N/A,Oils:Rosin
42,Viton®,A - Excellent,Oils:Rosin
