,material,compatibility,chemical
0,,,Oils:Sesame Seed
1,ABS plastic,A - Excellent,Oils:Sesame Seed
2,Acetal (Delrin®),D - Poor,Oils:Sesame Seed
3,Aluminum,N/A,Oils:Sesame Seed
4,Brass,N/A,Oils:Sesame Seed
5,Bronze,A - Excellent,Oils:Sesame Seed
6,Buna N (Nitrile),A - Excellent,Oils:Sesame Seed
7,Carbon graphite,N/A,Oils:Sesame Seed
8,Carbon Steel,N/A,Oils:Sesame Seed
9,Carpenter 20,A - Excellent,Oils:Sesame Seed
10,Cast iron,A - Excellent,Oils:Sesame Seed
11,Ceramic Al203,N/A,Oils:Sesame Seed
12,Ceramic magnet,N/A,Oils:Sesame Seed
13,ChemRaz (FFKM),N/A,Oils:Sesame Seed
14,Copper,N/A,Oils:Sesame Seed
15,CPVC,A - Excellent,Oils:Sesame Seed
16,EPDM,N/A,Oils:Sesame Seed
17,Epoxy,A - Excellent,Oils:Sesame Seed
18,Fluorocarbon (FKM),A - Excellent,Oils:Sesame Seed
19,Hastelloy-C®,N/A,Oils:Sesame Seed
20,Hypalon®,N/A,Oils:Sesame Seed
21,Hytrel®,N/A,Oils:Sesame Seed
22,Kalrez,N/A,Oils:Sesame Seed
23,Kel-F®,N/A,Oils:Sesame Seed
24,LDPE,N/A,Oils:Sesame Seed
25,Natural rubber,N/A,Oils:Sesame Seed
26,Neoprene,D - Poor,Oils:Sesame Seed
27,NORYL®,N/A,Oils:Sesame Seed
28,Nylon,N/A,Oils:Sesame Seed
29,Polycarbonate,N/A,Oils:Sesame Seed
30,Polyetherether Ketone (PEEK),N/A,Oils:Sesame Seed
31,Polypropylene,A - Excellent,Oils:Sesame Seed
32,Polyurethane,N/A,Oils:Sesame Seed
33,PPS (Ryton®),N/A,Oils:Sesame Seed
34,PTFE,A - Excellent,Oils:Sesame Seed
35,PVC,A - Excellent,Oils:Sesame Seed
36,PVDF (Kynar®),A - Excellent,Oils:Sesame Seed
37,Silicone,N/A,Oils:Sesame Seed
38,stainless steel - 304,A - Excellent,Oils:Sesame Seed
39,stainless steel - 316,A - Excellent,Oils:Sesame Seed
40,Titanium,A - Excellent,Oils:Sesame Seed
41,Tygon®,A - Excellent,Oils:Sesame Seed
42,Viton®,A - Excellent,Oils:Sesame Seed
