,material,compatibility,chemical
0,,,Oils:Silicone
1,ABS plastic,A - Excellent,Oils:Silicone
2,Acetal (Delrin®),A - Excellent,Oils:Silicone
3,Aluminum,A - Excellent,Oils:Silicone
4,Brass,N/A,Oils:Silicone
5,Bronze,A - Excellent,Oils:Silicone
6,Buna N (Nitrile),A - Excellent,Oils:Silicone
7,Carbon graphite,A - Excellent,Oils:Silicone
8,Carbon Steel,A - Excellent,Oils:Silicone
9,Carpenter 20,A - Excellent,Oils:Silicone
10,Cast iron,A - Excellent,Oils:Silicone
11,Ceramic Al203,N/A,Oils:Silicone
12,Ceramic magnet,A - Excellent,Oils:Silicone
13,ChemRaz (FFKM),A - Excellent,Oils:Silicone
14,Copper,A - Excellent,Oils:Silicone
15,CPVC,A - Excellent,Oils:Silicone
16,EPDM,A - Excellent,Oils:Silicone
17,Epoxy,A - Excellent,Oils:Silicone
18,Fluorocarbon (FKM),A - Excellent,Oils:Silicone
19,Hastelloy-C®,A - Excellent,Oils:Silicone
20,Hypalon®,A - Excellent,Oils:Silicone
21,Hytrel®,A - Excellent,Oils:Silicone
22,Kalrez,A - Excellent,Oils:Silicone
23,Kel-F®,N/A,Oils:Silicone
24,LDPE,A - Excellent,Oils:Silicone
25,Natural rubber,D - Poor,Oils:Silicone
26,Neoprene,D - Poor,Oils:Silicone
27,NORYL®,A1 - Excellent,Oils:Silicone
28,Nylon,A1 - Excellent,Oils:Silicone
29,Polycarbonate,N/A,Oils:Silicone
30,Polyetherether Ketone (PEEK),A - Excellent,Oils:Silicone
31,Polypropylene,A - Excellent,Oils:Silicone
32,Polyurethane,A - Excellent,Oils:Silicone
33,PPS (Ryton®),A1 - Excellent,Oils:Silicone
34,PTFE,A - Excellent,Oils:Silicone
35,PVC,A - Excellent,Oils:Silicone
36,PVDF (Kynar®),A - Excellent,Oils:Silicone
37,Silicone,C - Fair,Oils:Silicone
38,stainless steel - 304,A - Excellent,Oils:Silicone
39,stainless steel - 316,A - Excellent,Oils:Silicone
40,Titanium,N/A,Oils:Silicone
41,Tygon®,A - Excellent,Oils:Silicone
42,Viton®,A - Excellent,Oils:Silicone
