,material,compatibility,chemical
0,,,Oils:Soybean
1,ABS plastic,A - Excellent,Oils:Soybean
2,Acetal (Delrin®),A - Excellent,Oils:Soybean
3,Aluminum,A - Excellent,Oils:Soybean
4,Brass,N/A,Oils:Soybean
5,Bronze,A - Excellent,Oils:Soybean
6,Buna N (Nitrile),A - Excellent,Oils:Soybean
7,Carbon graphite,A - Excellent,Oils:Soybean
8,Carbon Steel,B - Good,Oils:Soybean
9,Carpenter 20,A - Excellent,Oils:Soybean
10,Cast iron,A - Excellent,Oils:Soybean
11,Ceramic Al203,N/A,Oils:Soybean
12,Ceramic magnet,N/A,Oils:Soybean
13,ChemRaz (FFKM),A - Excellent,Oils:Soybean
14,Copper,N/A,Oils:Soybean
15,CPVC,A2 - Excellent,Oils:Soybean
16,EPDM,C - Fair,Oils:Soybean
17,Epoxy,A - Excellent,Oils:Soybean
18,Fluorocarbon (FKM),A - Excellent,Oils:Soybean
19,Hastelloy-C®,A - Excellent,Oils:Soybean
20,Hypalon®,C - Fair,Oils:Soybean
21,Hytrel®,B - Good,Oils:Soybean
22,Kalrez,A - Excellent,Oils:Soybean
23,Kel-F®,N/A,Oils:Soybean
24,LDPE,A1 - Excellent,Oils:Soybean
25,Natural rubber,D - Poor,Oils:Soybean
26,Neoprene,C - Fair,Oils:Soybean
27,NORYL®,N/A,Oils:Soybean
28,Nylon,A - Excellent,Oils:Soybean
29,Polycarbonate,N/A,Oils:Soybean
30,Polyetherether Ketone (PEEK),A - Excellent,Oils:Soybean
31,Polypropylene,A1 - Excellent,Oils:Soybean
32,Polyurethane,B - Good,Oils:Soybean
33,PPS (Ryton®),N/A,Oils:Soybean
34,PTFE,A - Excellent,Oils:Soybean
35,PVC,A1 - Excellent,Oils:Soybean
36,PVDF (Kynar®),A - Excellent,Oils:Soybean
37,Silicone,A - Excellent,Oils:Soybean
38,stainless steel - 304,A - Excellent,Oils:Soybean
39,stainless steel - 316,A - Excellent,Oils:Soybean
40,Titanium,A - Excellent,Oils:Soybean
41,Tygon®,B - Good,Oils:Soybean
42,Viton®,A - Excellent,Oils:Soybean
