,material,compatibility,chemical
0,,,Oils:Sperm (whale)
1,ABS plastic,A - Excellent,Oils:Sperm (whale)
2,Acetal (Delrin®),D - Poor,Oils:Sperm (whale)
3,Aluminum,N/A,Oils:Sperm (whale)
4,Brass,N/A,Oils:Sperm (whale)
5,Bronze,A - Excellent,Oils:Sperm (whale)
6,Buna N (Nitrile),A - Excellent,Oils:Sperm (whale)
7,Carbon graphite,N/A,Oils:Sperm (whale)
8,Carbon Steel,N/A,Oils:Sperm (whale)
9,Carpenter 20,A - Excellent,Oils:Sperm (whale)
10,Cast iron,A - Excellent,Oils:Sperm (whale)
11,Ceramic Al203,N/A,Oils:Sperm (whale)
12,Ceramic magnet,N/A,Oils:Sperm (whale)
13,ChemRaz (FFKM),N/A,Oils:Sperm (whale)
14,Copper,N/A,Oils:Sperm (whale)
15,CPVC,A - Excellent,Oils:Sperm (whale)
16,EPDM,N/A,Oils:Sperm (whale)
17,Epoxy,A - Excellent,Oils:Sperm (whale)
18,Fluorocarbon (FKM),N/A,Oils:Sperm (whale)
19,Hastelloy-C®,N/A,Oils:Sperm (whale)
20,Hypalon®,N/A,Oils:Sperm (whale)
21,Hytrel®,N/A,Oils:Sperm (whale)
22,Kalrez,N/A,Oils:Sperm (whale)
23,Kel-F®,N/A,Oils:Sperm (whale)
24,LDPE,N/A,Oils:Sperm (whale)
25,Natural rubber,N/A,Oils:Sperm (whale)
26,Neoprene,D - Poor,Oils:Sperm (whale)
27,NORYL®,N/A,Oils:Sperm (whale)
28,Nylon,N/A,Oils:Sperm (whale)
29,Polycarbonate,N/A,Oils:Sperm (whale)
30,Polyetherether Ketone (PEEK),N/A,Oils:Sperm (whale)
31,Polypropylene,N/A,Oils:Sperm (whale)
32,Polyurethane,N/A,Oils:Sperm (whale)
33,PPS (Ryton®),N/A,Oils:Sperm (whale)
34,PTFE,A - Excellent,Oils:Sperm (whale)
35,PVC,N/A,Oils:Sperm (whale)
36,PVDF (Kynar®),A - Excellent,Oils:Sperm (whale)
37,Silicone,N/A,Oils:Sperm (whale)
38,stainless steel - 304,A - Excellent,Oils:Sperm (whale)
39,stainless steel - 316,A - Excellent,Oils:Sperm (whale)
40,Titanium,A - Excellent,Oils:Sperm (whale)
41,Tygon®,A - Excellent,Oils:Sperm (whale)
42,Viton®,A - Excellent,Oils:Sperm (whale)
