,material,compatibility,chemical
0,,,Oils:Tanning
1,ABS plastic,N/A,Oils:Tanning
2,Acetal (Delrin®),D - Poor,Oils:Tanning
3,Aluminum,N/A,Oils:Tanning
4,Brass,N/A,Oils:Tanning
5,Bronze,A - Excellent,Oils:Tanning
6,Buna N (Nitrile),A - Excellent,Oils:Tanning
7,Carbon graphite,N/A,Oils:Tanning
8,Carbon Steel,N/A,Oils:Tanning
9,Carpenter 20,A - Excellent,Oils:Tanning
10,Cast iron,N/A,Oils:Tanning
11,Ceramic Al203,N/A,Oils:Tanning
12,Ceramic magnet,N/A,Oils:Tanning
13,ChemRaz (FFKM),N/A,Oils:Tanning
14,Copper,N/A,Oils:Tanning
15,CPVC,N/A,Oils:Tanning
16,EPDM,N/A,Oils:Tanning
17,Epoxy,A - Excellent,Oils:Tanning
18,Fluorocarbon (FKM),A - Excellent,Oils:Tanning
19,Hastelloy-C®,N/A,Oils:Tanning
20,Hypalon®,N/A,Oils:Tanning
21,Hytrel®,N/A,Oils:Tanning
22,Kalrez,N/A,Oils:Tanning
23,Kel-F®,N/A,Oils:Tanning
24,LDPE,N/A,Oils:Tanning
25,Natural rubber,N/A,Oils:Tanning
26,Neoprene,D - Poor,Oils:Tanning
27,NORYL®,N/A,Oils:Tanning
28,Nylon,N/A,Oils:Tanning
29,Polycarbonate,N/A,Oils:Tanning
30,Polyetherether Ketone (PEEK),N/A,Oils:Tanning
31,Polypropylene,N/A,Oils:Tanning
32,Polyurethane,N/A,Oils:Tanning
33,PPS (Ryton®),N/A,Oils:Tanning
34,PTFE,N/A,Oils:Tanning
35,PVC,N/A,Oils:Tanning
36,PVDF (Kynar®),A - Excellent,Oils:Tanning
37,Silicone,N/A,Oils:Tanning
38,stainless steel - 304,A - Excellent,Oils:Tanning
39,stainless steel - 316,A - Excellent,Oils:Tanning
40,Titanium,N/A,Oils:Tanning
41,Tygon®,N/A,Oils:Tanning
42,Viton®,A - Excellent,Oils:Tanning
