,material,compatibility,chemical
0,,,Oils:Transformer
1,ABS plastic,N/A,Oils:Transformer
2,Acetal (Delrin®),A - Excellent,Oils:Transformer
3,Aluminum,A - Excellent,Oils:Transformer
4,Brass,N/A,Oils:Transformer
5,Bronze,N/A,Oils:Transformer
6,Buna N (Nitrile),A - Excellent,Oils:Transformer
7,Carbon graphite,A - Excellent,Oils:Transformer
8,Carbon Steel,N/A,Oils:Transformer
9,Carpenter 20,A - Excellent,Oils:Transformer
10,Cast iron,N/A,Oils:Transformer
11,Ceramic Al203,N/A,Oils:Transformer
12,Ceramic magnet,N/A,Oils:Transformer
13,ChemRaz (FFKM),A - Excellent,Oils:Transformer
14,Copper,A - Excellent,Oils:Transformer
15,CPVC,A - Excellent,Oils:Transformer
16,EPDM,D - Poor,Oils:Transformer
17,Epoxy,B - Good,Oils:Transformer
18,Fluorocarbon (FKM),A - Excellent,Oils:Transformer
19,Hastelloy-C®,N/A,Oils:Transformer
20,Hypalon®,N/A,Oils:Transformer
21,Hytrel®,N/A,Oils:Transformer
22,Kalrez,A - Excellent,Oils:Transformer
23,Kel-F®,N/A,Oils:Transformer
24,LDPE,C1 - Fair,Oils:Transformer
25,Natural rubber,D - Poor,Oils:Transformer
26,Neoprene,B - Good,Oils:Transformer
27,NORYL®,N/A,Oils:Transformer
28,Nylon,A1 - Excellent,Oils:Transformer
29,Polycarbonate,N/A,Oils:Transformer
30,Polyetherether Ketone (PEEK),A - Excellent,Oils:Transformer
31,Polypropylene,B - Good,Oils:Transformer
32,Polyurethane,A - Excellent,Oils:Transformer
33,PPS (Ryton®),N/A,Oils:Transformer
34,PTFE,A - Excellent,Oils:Transformer
35,PVC,B - Good,Oils:Transformer
36,PVDF (Kynar®),A - Excellent,Oils:Transformer
37,Silicone,B - Good,Oils:Transformer
38,stainless steel - 304,A - Excellent,Oils:Transformer
39,stainless steel - 316,A - Excellent,Oils:Transformer
40,Titanium,N/A,Oils:Transformer
41,Tygon®,N/A,Oils:Transformer
42,Viton®,A - Excellent,Oils:Transformer
