,material,compatibility,chemical
0,,,Oils:Turbine
1,ABS plastic,N/A,Oils:Turbine
2,Acetal (Delrin®),A - Excellent,Oils:Turbine
3,Aluminum,A - Excellent,Oils:Turbine
4,Brass,N/A,Oils:Turbine
5,Bronze,A - Excellent,Oils:Turbine
6,Buna N (Nitrile),B - Good,Oils:Turbine
7,Carbon graphite,N/A,Oils:Turbine
8,Carbon Steel,N/A,Oils:Turbine
9,Carpenter 20,A - Excellent,Oils:Turbine
10,Cast iron,A - Excellent,Oils:Turbine
11,Ceramic Al203,N/A,Oils:Turbine
12,Ceramic magnet,N/A,Oils:Turbine
13,ChemRaz (FFKM),A - Excellent,Oils:Turbine
14,Copper,A - Excellent,Oils:Turbine
15,CPVC,A - Excellent,Oils:Turbine
16,EPDM,A - Excellent,Oils:Turbine
17,Epoxy,A - Excellent,Oils:Turbine
18,Fluorocarbon (FKM),A - Excellent,Oils:Turbine
19,Hastelloy-C®,N/A,Oils:Turbine
20,Hypalon®,D - Poor,Oils:Turbine
21,Hytrel®,N/A,Oils:Turbine
22,Kalrez,A - Excellent,Oils:Turbine
23,Kel-F®,N/A,Oils:Turbine
24,LDPE,C - Fair,Oils:Turbine
25,Natural rubber,D - Poor,Oils:Turbine
26,Neoprene,D - Poor,Oils:Turbine
27,NORYL®,N/A,Oils:Turbine
28,Nylon,A - Excellent,Oils:Turbine
29,Polycarbonate,N/A,Oils:Turbine
30,Polyetherether Ketone (PEEK),N/A,Oils:Turbine
31,Polypropylene,B1 - Good,Oils:Turbine
32,Polyurethane,D - Poor,Oils:Turbine
33,PPS (Ryton®),N/A,Oils:Turbine
34,PTFE,A - Excellent,Oils:Turbine
35,PVC,A1 - Excellent,Oils:Turbine
36,PVDF (Kynar®),A - Excellent,Oils:Turbine
37,Silicone,D - Poor,Oils:Turbine
38,stainless steel - 304,A - Excellent,Oils:Turbine
39,stainless steel - 316,A - Excellent,Oils:Turbine
40,Titanium,A - Excellent,Oils:Turbine
41,Tygon®,A - Excellent,Oils:Turbine
42,Viton®,A - Excellent,Oils:Turbine
