,material,compatibility,chemical
0,,,Oleic Acid
1,ABS plastic,N/A,Oleic Acid
2,Acetal (Delrin®),A - Excellent,Oleic Acid
3,Aluminum,A - Excellent,Oleic Acid
4,Brass,N/A,Oleic Acid
5,Bronze,A - Excellent,Oleic Acid
6,Buna N (Nitrile),B - Good,Oleic Acid
7,Carbon graphite,N/A,Oleic Acid
8,Carbon Steel,N/A,Oleic Acid
9,Carpenter 20,A - Excellent,Oleic Acid
10,Cast iron,A - Excellent,Oleic Acid
11,Ceramic Al203,N/A,Oleic Acid
12,Ceramic magnet,N/A,Oleic Acid
13,ChemRaz (FFKM),A - Excellent,Oleic Acid
14,Copper,A - Excellent,Oleic Acid
15,CPVC,A - Excellent,Oleic Acid
16,EPDM,A - Excellent,Oleic Acid
17,Epoxy,A - Excellent,Oleic Acid
18,Fluorocarbon (FKM),A - Excellent,Oleic Acid
19,Hastelloy-C®,N/A,Oleic Acid
20,Hypalon®,D - Poor,Oleic Acid
21,Hytrel®,N/A,Oleic Acid
22,Kalrez,A - Excellent,Oleic Acid
23,Kel-F®,N/A,Oleic Acid
24,LDPE,C - Fair,Oleic Acid
25,Natural rubber,D - Poor,Oleic Acid
26,Neoprene,D - Poor,Oleic Acid
27,NORYL®,N/A,Oleic Acid
28,Nylon,A - Excellent,Oleic Acid
29,Polycarbonate,N/A,Oleic Acid
30,Polyetherether Ketone (PEEK),N/A,Oleic Acid
31,Polypropylene,B1 - Good,Oleic Acid
32,Polyurethane,D - Poor,Oleic Acid
33,PPS (Ryton®),N/A,Oleic Acid
34,PTFE,A - Excellent,Oleic Acid
35,PVC,A1 - Excellent,Oleic Acid
36,PVDF (Kynar®),A - Excellent,Oleic Acid
37,Silicone,D - Poor,Oleic Acid
38,stainless steel - 304,A - Excellent,Oleic Acid
39,stainless steel - 316,A - Excellent,Oleic Acid
40,Titanium,A - Excellent,Oleic Acid
41,Tygon®,A - Excellent,Oleic Acid
42,Viton®,A - Excellent,Oleic Acid
