,material,compatibility,chemical
0,,,Oleum 25%
1,ABS plastic,N/A,Oleum 25%
2,Acetal (Delrin®),D - Poor,Oleum 25%
3,Aluminum,B - Good,Oleum 25%
4,Brass,N/A,Oleum 25%
5,Bronze,B - Good,Oleum 25%
6,Buna N (Nitrile),D - Poor,Oleum 25%
7,Carbon graphite,D - Poor,Oleum 25%
8,Carbon Steel,N/A,Oleum 25%
9,Carpenter 20,D - Poor,Oleum 25%
10,Cast iron,N/A,Oleum 25%
11,Ceramic Al203,N/A,Oleum 25%
12,Ceramic magnet,N/A,Oleum 25%
13,ChemRaz (FFKM),N/A,Oleum 25%
14,Copper,N/A,Oleum 25%
15,CPVC,D - Poor,Oleum 25%
16,EPDM,D - Poor,Oleum 25%
17,Epoxy,D - Poor,Oleum 25%
18,Fluorocarbon (FKM),B - Good,Oleum 25%
19,Hastelloy-C®,A - Excellent,Oleum 25%
20,Hypalon®,D - Poor,Oleum 25%
21,Hytrel®,C - Fair,Oleum 25%
22,Kalrez,A - Excellent,Oleum 25%
23,Kel-F®,A - Excellent,Oleum 25%
24,LDPE,D - Poor,Oleum 25%
25,Natural rubber,D - Poor,Oleum 25%
26,Neoprene,D - Poor,Oleum 25%
27,NORYL®,N/A,Oleum 25%
28,Nylon,D - Poor,Oleum 25%
29,Polycarbonate,N/A,Oleum 25%
30,Polyetherether Ketone (PEEK),N/A,Oleum 25%
31,Polypropylene,D - Poor,Oleum 25%
32,Polyurethane,D - Poor,Oleum 25%
33,PPS (Ryton®),A1 - Excellent,Oleum 25%
34,PTFE,A - Excellent,Oleum 25%
35,PVC,D - Poor,Oleum 25%
36,PVDF (Kynar®),C1 - Fair,Oleum 25%
37,Silicone,D - Poor,Oleum 25%
38,stainless steel - 304,B2 - Good,Oleum 25%
39,stainless steel - 316,B - Good,Oleum 25%
40,Titanium,D - Poor,Oleum 25%
41,Tygon®,N/A,Oleum 25%
42,Viton®,A - Excellent,Oleum 25%
