,material,compatibility,chemical
0,,,Palmitic Acid
1,ABS plastic,A - Excellent,Palmitic Acid
2,Acetal (Delrin®),A - Excellent,Palmitic Acid
3,Aluminum,B - Good,Palmitic Acid
4,Brass,D - Poor,Palmitic Acid
5,Bronze,A - Excellent,Palmitic Acid
6,Buna N (Nitrile),A2 - Excellent,Palmitic Acid
7,Carbon graphite,A2 - Excellent,Palmitic Acid
8,Carbon Steel,D - Poor,Palmitic Acid
9,Carpenter 20,N/A,Palmitic Acid
10,Cast iron,N/A,Palmitic Acid
11,Ceramic Al203,N/A,Palmitic Acid
12,Ceramic magnet,N/A,Palmitic Acid
13,ChemRaz (FFKM),A - Excellent,Palmitic Acid
14,Copper,B - Good,Palmitic Acid
15,CPVC,A1 - Excellent,Palmitic Acid
16,EPDM,B1 - Good,Palmitic Acid
17,Epoxy,A - Excellent,Palmitic Acid
18,Fluorocarbon (FKM),A - Excellent,Palmitic Acid
19,Hastelloy-C®,B - Good,Palmitic Acid
20,Hypalon®,D - Poor,Palmitic Acid
21,Hytrel®,A - Excellent,Palmitic Acid
22,Kalrez,A - Excellent,Palmitic Acid
23,Kel-F®,N/A,Palmitic Acid
24,LDPE,N/A,Palmitic Acid
25,Natural rubber,B1 - Good,Palmitic Acid
26,Neoprene,D - Poor,Palmitic Acid
27,NORYL®,N/A,Palmitic Acid
28,Nylon,A - Excellent,Palmitic Acid
29,Polycarbonate,N/A,Palmitic Acid
30,Polyetherether Ketone (PEEK),N/A,Palmitic Acid
31,Polypropylene,B1 - Good,Palmitic Acid
32,Polyurethane,A - Excellent,Palmitic Acid
33,PPS (Ryton®),N/A,Palmitic Acid
34,PTFE,A2 - Excellent,Palmitic Acid
35,PVC,B1 - Good,Palmitic Acid
36,PVDF (Kynar®),A2 - Excellent,Palmitic Acid
37,Silicone,D - Poor,Palmitic Acid
38,stainless steel - 304,B1 - Good,Palmitic Acid
39,stainless steel - 316,A1 - Excellent,Palmitic Acid
40,Titanium,N/A,Palmitic Acid
41,Tygon®,B1 - Good,Palmitic Acid
42,Viton®,A1 - Excellent,Palmitic Acid
