,material,compatibility,chemical
0,,,Paraffin
1,ABS plastic,A - Excellent,Paraffin
2,Acetal (Delrin®),A - Excellent,Paraffin
3,Aluminum,A - Excellent,Paraffin
4,Brass,A - Excellent,Paraffin
5,Bronze,A - Excellent,Paraffin
6,Buna N (Nitrile),B - Good,Paraffin
7,Carbon graphite,A - Excellent,Paraffin
8,Carbon Steel,A - Excellent,Paraffin
9,Carpenter 20,A - Excellent,Paraffin
10,Cast iron,N/A,Paraffin
11,Ceramic Al203,A - Excellent,Paraffin
12,Ceramic magnet,N/A,Paraffin
13,ChemRaz (FFKM),N/A,Paraffin
14,Copper,B - Good,Paraffin
15,CPVC,A - Excellent,Paraffin
16,EPDM,D - Poor,Paraffin
17,Epoxy,A - Excellent,Paraffin
18,Fluorocarbon (FKM),A - Excellent,Paraffin
19,Hastelloy-C®,B - Good,Paraffin
20,Hypalon®,N/A,Paraffin
21,Hytrel®,N/A,Paraffin
22,Kalrez,N/A,Paraffin
23,Kel-F®,N/A,Paraffin
24,LDPE,B - Good,Paraffin
25,Natural rubber,B - Good,Paraffin
26,Neoprene,B - Good,Paraffin
27,NORYL®,A - Excellent,Paraffin
28,Nylon,A1 - Excellent,Paraffin
29,Polycarbonate,A1 - Excellent,Paraffin
30,Polyetherether Ketone (PEEK),A - Excellent,Paraffin
31,Polypropylene,A1 - Excellent,Paraffin
32,Polyurethane,A - Excellent,Paraffin
33,PPS (Ryton®),N/A,Paraffin
34,PTFE,A - Excellent,Paraffin
35,PVC,B - Good,Paraffin
36,PVDF (Kynar®),A - Excellent,Paraffin
37,Silicone,N/A,Paraffin
38,stainless steel - 304,A - Excellent,Paraffin
39,stainless steel - 316,A - Excellent,Paraffin
40,Titanium,A - Excellent,Paraffin
41,Tygon®,B - Good,Paraffin
42,Viton®,B - Good,Paraffin
