,material,compatibility,chemical
0,,,Perchloric Acid
1,ABS plastic,N/A,Perchloric Acid
2,Acetal (Delrin®),C - Fair,Perchloric Acid
3,Aluminum,D - Poor,Perchloric Acid
4,Brass,N/A,Perchloric Acid
5,Bronze,B - Good,Perchloric Acid
6,Buna N (Nitrile),D - Poor,Perchloric Acid
7,Carbon graphite,A - Excellent,Perchloric Acid
8,Carbon Steel,D - Poor,Perchloric Acid
9,Carpenter 20,N/A,Perchloric Acid
10,Cast iron,N/A,Perchloric Acid
11,Ceramic Al203,N/A,Perchloric Acid
12,Ceramic magnet,N/A,Perchloric Acid
13,ChemRaz (FFKM),B - Good,Perchloric Acid
14,Copper,D - Poor,Perchloric Acid
15,CPVC,A1 - Excellent,Perchloric Acid
16,EPDM,B - Good,Perchloric Acid
17,Epoxy,N/A,Perchloric Acid
18,Fluorocarbon (FKM),A - Excellent,Perchloric Acid
19,Hastelloy-C®,B - Good,Perchloric Acid
20,Hypalon®,N/A,Perchloric Acid
21,Hytrel®,N/A,Perchloric Acid
22,Kalrez,A - Excellent,Perchloric Acid
23,Kel-F®,B - Good,Perchloric Acid
24,LDPE,B - Good,Perchloric Acid
25,Natural rubber,N/A,Perchloric Acid
26,Neoprene,A - Excellent,Perchloric Acid
27,NORYL®,N/A,Perchloric Acid
28,Nylon,D - Poor,Perchloric Acid
29,Polycarbonate,N/A,Perchloric Acid
30,Polyetherether Ketone (PEEK),A - Excellent,Perchloric Acid
31,Polypropylene,C - Fair,Perchloric Acid
32,Polyurethane,D - Poor,Perchloric Acid
33,PPS (Ryton®),N/A,Perchloric Acid
34,PTFE,A - Excellent,Perchloric Acid
35,PVC,C - Fair,Perchloric Acid
36,PVDF (Kynar®),A - Excellent,Perchloric Acid
37,Silicone,D - Poor,Perchloric Acid
38,stainless steel - 304,C - Fair,Perchloric Acid
39,stainless steel - 316,C - Fair,Perchloric Acid
40,Titanium,D - Poor,Perchloric Acid
41,Tygon®,D - Poor,Perchloric Acid
42,Viton®,A - Excellent,Perchloric Acid
