,material,compatibility,chemical
0,,,Petrolatum
1,ABS plastic,N/A,Petrolatum
2,Acetal (Delrin®),B - Good,Petrolatum
3,Aluminum,N/A,Petrolatum
4,Brass,N/A,Petrolatum
5,Bronze,A - Excellent,Petrolatum
6,Buna N (Nitrile),A - Excellent,Petrolatum
7,Carbon graphite,A - Excellent,Petrolatum
8,Carbon Steel,D - Poor,Petrolatum
9,Carpenter 20,A - Excellent,Petrolatum
10,Cast iron,N/A,Petrolatum
11,Ceramic Al203,N/A,Petrolatum
12,Ceramic magnet,N/A,Petrolatum
13,ChemRaz (FFKM),A - Excellent,Petrolatum
14,Copper,N/A,Petrolatum
15,CPVC,N/A,Petrolatum
16,EPDM,A - Excellent,Petrolatum
17,Epoxy,A - Excellent,Petrolatum
18,Fluorocarbon (FKM),A - Excellent,Petrolatum
19,Hastelloy-C®,A - Excellent,Petrolatum
20,Hypalon®,N/A,Petrolatum
21,Hytrel®,N/A,Petrolatum
22,Kalrez,A - Excellent,Petrolatum
23,Kel-F®,N/A,Petrolatum
24,LDPE,B - Good,Petrolatum
25,Natural rubber,C - Fair,Petrolatum
26,Neoprene,A - Excellent,Petrolatum
27,NORYL®,N/A,Petrolatum
28,Nylon,D - Poor,Petrolatum
29,Polycarbonate,N/A,Petrolatum
30,Polyetherether Ketone (PEEK),A - Excellent,Petrolatum
31,Polypropylene,D - Poor,Petrolatum
32,Polyurethane,D - Poor,Petrolatum
33,PPS (Ryton®),N/A,Petrolatum
34,PTFE,C - Fair,Petrolatum
35,PVC,B - Good,Petrolatum
36,PVDF (Kynar®),A - Excellent,Petrolatum
37,Silicone,D - Poor,Petrolatum
38,stainless steel - 304,A - Excellent,Petrolatum
39,stainless steel - 316,A - Excellent,Petrolatum
40,Titanium,N/A,Petrolatum
41,Tygon®,B - Good,Petrolatum
42,Viton®,A - Excellent,Petrolatum
