,material,compatibility,chemical
0,,,Phenol (Carbolic Acid)
1,ABS plastic,D - Poor,Phenol (Carbolic Acid)
2,Acetal (Delrin®),D - Poor,Phenol (Carbolic Acid)
3,Aluminum,A - Excellent,Phenol (Carbolic Acid)
4,Brass,D - Poor,Phenol (Carbolic Acid)
5,Bronze,B - Good,Phenol (Carbolic Acid)
6,Buna N (Nitrile),D - Poor,Phenol (Carbolic Acid)
7,Carbon graphite,A - Excellent,Phenol (Carbolic Acid)
8,Carbon Steel,N/A,Phenol (Carbolic Acid)
9,Carpenter 20,C - Fair,Phenol (Carbolic Acid)
10,Cast iron,D - Poor,Phenol (Carbolic Acid)
11,Ceramic Al203,A - Excellent,Phenol (Carbolic Acid)
12,Ceramic magnet,N/A,Phenol (Carbolic Acid)
13,ChemRaz (FFKM),A - Excellent,Phenol (Carbolic Acid)
14,Copper,D - Poor,Phenol (Carbolic Acid)
15,CPVC,B1 - Good,Phenol (Carbolic Acid)
16,EPDM,B - Good,Phenol (Carbolic Acid)
17,Epoxy,C - Fair,Phenol (Carbolic Acid)
18,Fluorocarbon (FKM),A - Excellent,Phenol (Carbolic Acid)
19,Hastelloy-C®,A - Excellent,Phenol (Carbolic Acid)
20,Hypalon®,D - Poor,Phenol (Carbolic Acid)
21,Hytrel®,D - Poor,Phenol (Carbolic Acid)
22,Kalrez,A - Excellent,Phenol (Carbolic Acid)
23,Kel-F®,B - Good,Phenol (Carbolic Acid)
24,LDPE,D - Poor,Phenol (Carbolic Acid)
25,Natural rubber,D - Poor,Phenol (Carbolic Acid)
26,Neoprene,D - Poor,Phenol (Carbolic Acid)
27,NORYL®,D - Poor,Phenol (Carbolic Acid)
28,Nylon,D - Poor,Phenol (Carbolic Acid)
29,Polycarbonate,D - Poor,Phenol (Carbolic Acid)
30,Polyetherether Ketone (PEEK),D - Poor,Phenol (Carbolic Acid)
31,Polypropylene,B - Good,Phenol (Carbolic Acid)
32,Polyurethane,D - Poor,Phenol (Carbolic Acid)
33,PPS (Ryton®),A - Excellent,Phenol (Carbolic Acid)
34,PTFE,A - Excellent,Phenol (Carbolic Acid)
35,PVC,D - Poor,Phenol (Carbolic Acid)
36,PVDF (Kynar®),A1 - Excellent,Phenol (Carbolic Acid)
37,Silicone,D - Poor,Phenol (Carbolic Acid)
38,stainless steel - 304,B - Good,Phenol (Carbolic Acid)
39,stainless steel - 316,B - Good,Phenol (Carbolic Acid)
40,Titanium,A - Excellent,Phenol (Carbolic Acid)
41,Tygon®,B - Good,Phenol (Carbolic Acid)
42,Viton®,A - Excellent,Phenol (Carbolic Acid)
