,material,compatibility,chemical
0,,,Phosphoric Acid (>40%)
1,ABS plastic,C - Fair,Phosphoric Acid (>40%)
2,Acetal (Delrin®),D - Poor,Phosphoric Acid (>40%)
3,Aluminum,C - Fair,Phosphoric Acid (>40%)
4,Brass,D - Poor,Phosphoric Acid (>40%)
5,Bronze,B - Good,Phosphoric Acid (>40%)
6,Buna N (Nitrile),D - Poor,Phosphoric Acid (>40%)
7,Carbon graphite,B - Good,Phosphoric Acid (>40%)
8,Carbon Steel,D - Poor,Phosphoric Acid (>40%)
9,Carpenter 20,D - Poor,Phosphoric Acid (>40%)
10,Cast iron,D - Poor,Phosphoric Acid (>40%)
11,Ceramic Al203,A - Excellent,Phosphoric Acid (>40%)
12,Ceramic magnet,C - Fair,Phosphoric Acid (>40%)
13,ChemRaz (FFKM),A - Excellent,Phosphoric Acid (>40%)
14,Copper,D - Poor,Phosphoric Acid (>40%)
15,CPVC,A - Excellent,Phosphoric Acid (>40%)
16,EPDM,B - Good,Phosphoric Acid (>40%)
17,Epoxy,B - Good,Phosphoric Acid (>40%)
18,Fluorocarbon (FKM),A - Excellent,Phosphoric Acid (>40%)
19,Hastelloy-C®,A2 - Excellent,Phosphoric Acid (>40%)
20,Hypalon®,B - Good,Phosphoric Acid (>40%)
21,Hytrel®,N/A,Phosphoric Acid (>40%)
22,Kalrez,A - Excellent,Phosphoric Acid (>40%)
23,Kel-F®,A - Excellent,Phosphoric Acid (>40%)
24,LDPE,B1 - Good,Phosphoric Acid (>40%)
25,Natural rubber,B - Good,Phosphoric Acid (>40%)
26,Neoprene,B - Good,Phosphoric Acid (>40%)
27,NORYL®,A - Excellent,Phosphoric Acid (>40%)
28,Nylon,B1 - Good,Phosphoric Acid (>40%)
29,Polycarbonate,A - Excellent,Phosphoric Acid (>40%)
30,Polyetherether Ketone (PEEK),A - Excellent,Phosphoric Acid (>40%)
31,Polypropylene,A2 - Excellent,Phosphoric Acid (>40%)
32,Polyurethane,D - Poor,Phosphoric Acid (>40%)
33,PPS (Ryton®),A - Excellent,Phosphoric Acid (>40%)
34,PTFE,A - Excellent,Phosphoric Acid (>40%)
35,PVC,B - Good,Phosphoric Acid (>40%)
36,PVDF (Kynar®),B - Good,Phosphoric Acid (>40%)
37,Silicone,D - Poor,Phosphoric Acid (>40%)
38,stainless steel - 304,D - Poor,Phosphoric Acid (>40%)
39,stainless steel - 316,D - Poor,Phosphoric Acid (>40%)
40,Titanium,C - Fair,Phosphoric Acid (>40%)
41,Tygon®,D - Poor,Phosphoric Acid (>40%)
42,Viton®,A - Excellent,Phosphoric Acid (>40%)
