,material,compatibility,chemical
0,,,Phosphoric Acid (crude)
1,ABS plastic,C - Fair,Phosphoric Acid (crude)
2,Acetal (Delrin®),D - Poor,Phosphoric Acid (crude)
3,Aluminum,C - Fair,Phosphoric Acid (crude)
4,Brass,N/A,Phosphoric Acid (crude)
5,Bronze,B - Good,Phosphoric Acid (crude)
6,Buna N (Nitrile),D - Poor,Phosphoric Acid (crude)
7,Carbon graphite,A - Excellent,Phosphoric Acid (crude)
8,Carbon Steel,D - Poor,Phosphoric Acid (crude)
9,Carpenter 20,D - Poor,Phosphoric Acid (crude)
10,Cast iron,D - Poor,Phosphoric Acid (crude)
11,Ceramic Al203,N/A,Phosphoric Acid (crude)
12,Ceramic magnet,N/A,Phosphoric Acid (crude)
13,ChemRaz (FFKM),N/A,Phosphoric Acid (crude)
14,Copper,D - Poor,Phosphoric Acid (crude)
15,CPVC,N/A,Phosphoric Acid (crude)
16,EPDM,B - Good,Phosphoric Acid (crude)
17,Epoxy,B - Good,Phosphoric Acid (crude)
18,Fluorocarbon (FKM),A - Excellent,Phosphoric Acid (crude)
19,Hastelloy-C®,A2 - Excellent,Phosphoric Acid (crude)
20,Hypalon®,B - Good,Phosphoric Acid (crude)
21,Hytrel®,N/A,Phosphoric Acid (crude)
22,Kalrez,N/A,Phosphoric Acid (crude)
23,Kel-F®,A - Excellent,Phosphoric Acid (crude)
24,LDPE,B1 - Good,Phosphoric Acid (crude)
25,Natural rubber,D - Poor,Phosphoric Acid (crude)
26,Neoprene,D - Poor,Phosphoric Acid (crude)
27,NORYL®,A - Excellent,Phosphoric Acid (crude)
28,Nylon,B1 - Good,Phosphoric Acid (crude)
29,Polycarbonate,A - Excellent,Phosphoric Acid (crude)
30,Polyetherether Ketone (PEEK),A - Excellent,Phosphoric Acid (crude)
31,Polypropylene,B2 - Good,Phosphoric Acid (crude)
32,Polyurethane,N/A,Phosphoric Acid (crude)
33,PPS (Ryton®),A - Excellent,Phosphoric Acid (crude)
34,PTFE,A - Excellent,Phosphoric Acid (crude)
35,PVC,B2 - Good,Phosphoric Acid (crude)
36,PVDF (Kynar®),A - Excellent,Phosphoric Acid (crude)
37,Silicone,D - Poor,Phosphoric Acid (crude)
38,stainless steel - 304,D - Poor,Phosphoric Acid (crude)
39,stainless steel - 316,B - Good,Phosphoric Acid (crude)
40,Titanium,C - Fair,Phosphoric Acid (crude)
41,Tygon®,D - Poor,Phosphoric Acid (crude)
42,Viton®,A - Excellent,Phosphoric Acid (crude)
