,material,compatibility,chemical
0,,,Phosphoric Acid (molten)
1,ABS plastic,D - Poor,Phosphoric Acid (molten)
2,Acetal (Delrin®),D - Poor,Phosphoric Acid (molten)
3,Aluminum,C - Fair,Phosphoric Acid (molten)
4,Brass,N/A,Phosphoric Acid (molten)
5,Bronze,N/A,Phosphoric Acid (molten)
6,Buna N (Nitrile),N/A,Phosphoric Acid (molten)
7,Carbon graphite,N/A,Phosphoric Acid (molten)
8,Carbon Steel,D - Poor,Phosphoric Acid (molten)
9,Carpenter 20,A - Excellent,Phosphoric Acid (molten)
10,Cast iron,N/A,Phosphoric Acid (molten)
11,Ceramic Al203,N/A,Phosphoric Acid (molten)
12,Ceramic magnet,N/A,Phosphoric Acid (molten)
13,ChemRaz (FFKM),N/A,Phosphoric Acid (molten)
14,Copper,D - Poor,Phosphoric Acid (molten)
15,CPVC,N/A,Phosphoric Acid (molten)
16,EPDM,N/A,Phosphoric Acid (molten)
17,Epoxy,N/A,Phosphoric Acid (molten)
18,Fluorocarbon (FKM),D - Poor,Phosphoric Acid (molten)
19,Hastelloy-C®,C - Fair,Phosphoric Acid (molten)
20,Hypalon®,N/A,Phosphoric Acid (molten)
21,Hytrel®,N/A,Phosphoric Acid (molten)
22,Kalrez,N/A,Phosphoric Acid (molten)
23,Kel-F®,N/A,Phosphoric Acid (molten)
24,LDPE,N/A,Phosphoric Acid (molten)
25,Natural rubber,N/A,Phosphoric Acid (molten)
26,Neoprene,A - Excellent,Phosphoric Acid (molten)
27,NORYL®,N/A,Phosphoric Acid (molten)
28,Nylon,N/A,Phosphoric Acid (molten)
29,Polycarbonate,N/A,Phosphoric Acid (molten)
30,Polyetherether Ketone (PEEK),N/A,Phosphoric Acid (molten)
31,Polypropylene,D - Poor,Phosphoric Acid (molten)
32,Polyurethane,D - Poor,Phosphoric Acid (molten)
33,PPS (Ryton®),N/A,Phosphoric Acid (molten)
34,PTFE,N/A,Phosphoric Acid (molten)
35,PVC,D - Poor,Phosphoric Acid (molten)
36,PVDF (Kynar®),D - Poor,Phosphoric Acid (molten)
37,Silicone,N/A,Phosphoric Acid (molten)
38,stainless steel - 304,N/A,Phosphoric Acid (molten)
39,stainless steel - 316,C - Fair,Phosphoric Acid (molten)
40,Titanium,D - Poor,Phosphoric Acid (molten)
41,Tygon®,D - Poor,Phosphoric Acid (molten)
42,Viton®,N/A,Phosphoric Acid (molten)
