,material,compatibility,chemical
0,,,Phosphoric Acid Anhydride
1,ABS plastic,B - Good,Phosphoric Acid Anhydride
2,Acetal (Delrin®),D - Poor,Phosphoric Acid Anhydride
3,Aluminum,C - Fair,Phosphoric Acid Anhydride
4,Brass,D - Poor,Phosphoric Acid Anhydride
5,Bronze,B - Good,Phosphoric Acid Anhydride
6,Buna N (Nitrile),D - Poor,Phosphoric Acid Anhydride
7,Carbon graphite,A - Excellent,Phosphoric Acid Anhydride
8,Carbon Steel,D - Poor,Phosphoric Acid Anhydride
9,Carpenter 20,D - Poor,Phosphoric Acid Anhydride
10,Cast iron,D - Poor,Phosphoric Acid Anhydride
11,Ceramic Al203,A - Excellent,Phosphoric Acid Anhydride
12,Ceramic magnet,N/A,Phosphoric Acid Anhydride
13,ChemRaz (FFKM),N/A,Phosphoric Acid Anhydride
14,Copper,D - Poor,Phosphoric Acid Anhydride
15,CPVC,A - Excellent,Phosphoric Acid Anhydride
16,EPDM,B - Good,Phosphoric Acid Anhydride
17,Epoxy,A - Excellent,Phosphoric Acid Anhydride
18,Fluorocarbon (FKM),D - Poor,Phosphoric Acid Anhydride
19,Hastelloy-C®,A2 - Excellent,Phosphoric Acid Anhydride
20,Hypalon®,B - Good,Phosphoric Acid Anhydride
21,Hytrel®,N/A,Phosphoric Acid Anhydride
22,Kalrez,N/A,Phosphoric Acid Anhydride
23,Kel-F®,A - Excellent,Phosphoric Acid Anhydride
24,LDPE,A - Excellent,Phosphoric Acid Anhydride
25,Natural rubber,B - Good,Phosphoric Acid Anhydride
26,Neoprene,B - Good,Phosphoric Acid Anhydride
27,NORYL®,A - Excellent,Phosphoric Acid Anhydride
28,Nylon,B1 - Good,Phosphoric Acid Anhydride
29,Polycarbonate,A - Excellent,Phosphoric Acid Anhydride
30,Polyetherether Ketone (PEEK),N/A,Phosphoric Acid Anhydride
31,Polypropylene,A2 - Excellent,Phosphoric Acid Anhydride
32,Polyurethane,D - Poor,Phosphoric Acid Anhydride
33,PPS (Ryton®),A - Excellent,Phosphoric Acid Anhydride
34,PTFE,A - Excellent,Phosphoric Acid Anhydride
35,PVC,B - Good,Phosphoric Acid Anhydride
36,PVDF (Kynar®),B - Good,Phosphoric Acid Anhydride
37,Silicone,C - Fair,Phosphoric Acid Anhydride
38,stainless steel - 304,D - Poor,Phosphoric Acid Anhydride
39,stainless steel - 316,C - Fair,Phosphoric Acid Anhydride
40,Titanium,C - Fair,Phosphoric Acid Anhydride
41,Tygon®,D - Poor,Phosphoric Acid Anhydride
42,Viton®,A - Excellent,Phosphoric Acid Anhydride
