,material,compatibility,chemical
0,,,Photographic Developer
1,ABS plastic,B - Good,Photographic Developer
2,Acetal (Delrin®),D - Poor,Photographic Developer
3,Aluminum,N/A,Photographic Developer
4,Brass,N/A,Photographic Developer
5,Bronze,A - Excellent,Photographic Developer
6,Buna N (Nitrile),A - Excellent,Photographic Developer
7,Carbon graphite,A - Excellent,Photographic Developer
8,Carbon Steel,D - Poor,Photographic Developer
9,Carpenter 20,D - Poor,Photographic Developer
10,Cast iron,D - Poor,Photographic Developer
11,Ceramic Al203,A - Excellent,Photographic Developer
12,Ceramic magnet,A - Excellent,Photographic Developer
13,ChemRaz (FFKM),N/A,Photographic Developer
14,Copper,D - Poor,Photographic Developer
15,CPVC,A - Excellent,Photographic Developer
16,EPDM,B - Good,Photographic Developer
17,Epoxy,A - Excellent,Photographic Developer
18,Fluorocarbon (FKM),A - Excellent,Photographic Developer
19,Hastelloy-C®,B - Good,Photographic Developer
20,Hypalon®,A - Excellent,Photographic Developer
21,Hytrel®,N/A,Photographic Developer
22,Kalrez,A - Excellent,Photographic Developer
23,Kel-F®,N/A,Photographic Developer
24,LDPE,A - Excellent,Photographic Developer
25,Natural rubber,A - Excellent,Photographic Developer
26,Neoprene,A - Excellent,Photographic Developer
27,NORYL®,A - Excellent,Photographic Developer
28,Nylon,N/A,Photographic Developer
29,Polycarbonate,A2 - Excellent,Photographic Developer
30,Polyetherether Ketone (PEEK),N/A,Photographic Developer
31,Polypropylene,A - Excellent,Photographic Developer
32,Polyurethane,D - Poor,Photographic Developer
33,PPS (Ryton®),N/A,Photographic Developer
34,PTFE,A - Excellent,Photographic Developer
35,PVC,A - Excellent,Photographic Developer
36,PVDF (Kynar®),N/A,Photographic Developer
37,Silicone,B - Good,Photographic Developer
38,stainless steel - 304,A - Excellent,Photographic Developer
39,stainless steel - 316,A - Excellent,Photographic Developer
40,Titanium,A - Excellent,Photographic Developer
41,Tygon®,N/A,Photographic Developer
42,Viton®,A - Excellent,Photographic Developer
