,material,compatibility,chemical
0,,,Photographic Solutions
1,ABS plastic,N/A,Photographic Solutions
2,Acetal (Delrin®),D - Poor,Photographic Solutions
3,Aluminum,N/A,Photographic Solutions
4,Brass,N/A,Photographic Solutions
5,Bronze,A2 - Excellent,Photographic Solutions
6,Buna N (Nitrile),B - Good,Photographic Solutions
7,Carbon graphite,A2 - Excellent,Photographic Solutions
8,Carbon Steel,D - Poor,Photographic Solutions
9,Carpenter 20,N/A,Photographic Solutions
10,Cast iron,N/A,Photographic Solutions
11,Ceramic Al203,N/A,Photographic Solutions
12,Ceramic magnet,N/A,Photographic Solutions
13,ChemRaz (FFKM),N/A,Photographic Solutions
14,Copper,D - Poor,Photographic Solutions
15,CPVC,A - Excellent,Photographic Solutions
16,EPDM,A1 - Excellent,Photographic Solutions
17,Epoxy,B2 - Good,Photographic Solutions
18,Fluorocarbon (FKM),A - Excellent,Photographic Solutions
19,Hastelloy-C®,B2 - Good,Photographic Solutions
20,Hypalon®,A1 - Excellent,Photographic Solutions
21,Hytrel®,B - Good,Photographic Solutions
22,Kalrez,A - Excellent,Photographic Solutions
23,Kel-F®,A2 - Excellent,Photographic Solutions
24,LDPE,A - Excellent,Photographic Solutions
25,Natural rubber,B - Good,Photographic Solutions
26,Neoprene,B1 - Good,Photographic Solutions
27,NORYL®,A1 - Excellent,Photographic Solutions
28,Nylon,A1 - Excellent,Photographic Solutions
29,Polycarbonate,A1 - Excellent,Photographic Solutions
30,Polyetherether Ketone (PEEK),A - Excellent,Photographic Solutions
31,Polypropylene,A2 - Excellent,Photographic Solutions
32,Polyurethane,D - Poor,Photographic Solutions
33,PPS (Ryton®),A2 - Excellent,Photographic Solutions
34,PTFE,A2 - Excellent,Photographic Solutions
35,PVC,A - Excellent,Photographic Solutions
36,PVDF (Kynar®),B2 - Good,Photographic Solutions
37,Silicone,A - Excellent,Photographic Solutions
38,stainless steel - 304,D - Poor,Photographic Solutions
39,stainless steel - 316,N/A,Photographic Solutions
40,Titanium,A1 - Excellent,Photographic Solutions
41,Tygon®,A2 - Excellent,Photographic Solutions
42,Viton®,B1 - Good,Photographic Solutions
