,material,compatibility,chemical
0,,,Phthalic Acid
1,ABS plastic,B - Good,Phthalic Acid
2,Acetal (Delrin®),C - Fair,Phthalic Acid
3,Aluminum,B2 - Good,Phthalic Acid
4,Brass,N/A,Phthalic Acid
5,Bronze,B2 - Good,Phthalic Acid
6,Buna N (Nitrile),D - Poor,Phthalic Acid
7,Carbon graphite,A1 - Excellent,Phthalic Acid
8,Carbon Steel,A - Excellent,Phthalic Acid
9,Carpenter 20,N/A,Phthalic Acid
10,Cast iron,N/A,Phthalic Acid
11,Ceramic Al203,N/A,Phthalic Acid
12,Ceramic magnet,N/A,Phthalic Acid
13,ChemRaz (FFKM),N/A,Phthalic Acid
14,Copper,C - Fair,Phthalic Acid
15,CPVC,B - Good,Phthalic Acid
16,EPDM,A1 - Excellent,Phthalic Acid
17,Epoxy,N/A,Phthalic Acid
18,Fluorocarbon (FKM),A - Excellent,Phthalic Acid
19,Hastelloy-C®,B2 - Good,Phthalic Acid
20,Hypalon®,A2 - Excellent,Phthalic Acid
21,Hytrel®,N/A,Phthalic Acid
22,Kalrez,A - Excellent,Phthalic Acid
23,Kel-F®,N/A,Phthalic Acid
24,LDPE,B2 - Good,Phthalic Acid
25,Natural rubber,N/A,Phthalic Acid
26,Neoprene,A - Excellent,Phthalic Acid
27,NORYL®,N/A,Phthalic Acid
28,Nylon,B1 - Good,Phthalic Acid
29,Polycarbonate,N/A,Phthalic Acid
30,Polyetherether Ketone (PEEK),A - Excellent,Phthalic Acid
31,Polypropylene,A - Excellent,Phthalic Acid
32,Polyurethane,N/A,Phthalic Acid
33,PPS (Ryton®),N/A,Phthalic Acid
34,PTFE,A2 - Excellent,Phthalic Acid
35,PVC,N/A,Phthalic Acid
36,PVDF (Kynar®),A2 - Excellent,Phthalic Acid
37,Silicone,B1 - Good,Phthalic Acid
38,stainless steel - 304,B2 - Good,Phthalic Acid
39,stainless steel - 316,A - Excellent,Phthalic Acid
40,Titanium,A - Excellent,Phthalic Acid
41,Tygon®,N/A,Phthalic Acid
42,Viton®,A1 - Excellent,Phthalic Acid
