,material,compatibility,chemical
0,,,Phthalic Anhydride
1,ABS plastic,B - Good,Phthalic Anhydride
2,Acetal (Delrin®),C - Fair,Phthalic Anhydride
3,Aluminum,A - Excellent,Phthalic Anhydride
4,Brass,N/A,Phthalic Anhydride
5,Bronze,A - Excellent,Phthalic Anhydride
6,Buna N (Nitrile),D - Poor,Phthalic Anhydride
7,Carbon graphite,A - Excellent,Phthalic Anhydride
8,Carbon Steel,A - Excellent,Phthalic Anhydride
9,Carpenter 20,B - Good,Phthalic Anhydride
10,Cast iron,N/A,Phthalic Anhydride
11,Ceramic Al203,N/A,Phthalic Anhydride
12,Ceramic magnet,N/A,Phthalic Anhydride
13,ChemRaz (FFKM),N/A,Phthalic Anhydride
14,Copper,C - Fair,Phthalic Anhydride
15,CPVC,D - Poor,Phthalic Anhydride
16,EPDM,A - Excellent,Phthalic Anhydride
17,Epoxy,N/A,Phthalic Anhydride
18,Fluorocarbon (FKM),A - Excellent,Phthalic Anhydride
19,Hastelloy-C®,A - Excellent,Phthalic Anhydride
20,Hypalon®,N/A,Phthalic Anhydride
21,Hytrel®,N/A,Phthalic Anhydride
22,Kalrez,A - Excellent,Phthalic Anhydride
23,Kel-F®,N/A,Phthalic Anhydride
24,LDPE,N/A,Phthalic Anhydride
25,Natural rubber,A - Excellent,Phthalic Anhydride
26,Neoprene,A - Excellent,Phthalic Anhydride
27,NORYL®,N/A,Phthalic Anhydride
28,Nylon,N/A,Phthalic Anhydride
29,Polycarbonate,A1 - Excellent,Phthalic Anhydride
30,Polyetherether Ketone (PEEK),N/A,Phthalic Anhydride
31,Polypropylene,D - Poor,Phthalic Anhydride
32,Polyurethane,A - Excellent,Phthalic Anhydride
33,PPS (Ryton®),N/A,Phthalic Anhydride
34,PTFE,A - Excellent,Phthalic Anhydride
35,PVC,D - Poor,Phthalic Anhydride
36,PVDF (Kynar®),A - Excellent,Phthalic Anhydride
37,Silicone,N/A,Phthalic Anhydride
38,stainless steel - 304,A - Excellent,Phthalic Anhydride
39,stainless steel - 316,A - Excellent,Phthalic Anhydride
40,Titanium,N/A,Phthalic Anhydride
41,Tygon®,B - Good,Phthalic Anhydride
42,Viton®,A - Excellent,Phthalic Anhydride
