,material,compatibility,chemical
0,,,Picric Acid
1,ABS plastic,A - Excellent,Picric Acid
2,Acetal (Delrin®),A - Excellent,Picric Acid
3,Aluminum,C - Fair,Picric Acid
4,Brass,N/A,Picric Acid
5,Bronze,B - Good,Picric Acid
6,Buna N (Nitrile),C - Fair,Picric Acid
7,Carbon graphite,A - Excellent,Picric Acid
8,Carbon Steel,C - Fair,Picric Acid
9,Carpenter 20,D - Poor,Picric Acid
10,Cast iron,A - Excellent,Picric Acid
11,Ceramic Al203,N/A,Picric Acid
12,Ceramic magnet,N/A,Picric Acid
13,ChemRaz (FFKM),A - Excellent,Picric Acid
14,Copper,D - Poor,Picric Acid
15,CPVC,D - Poor,Picric Acid
16,EPDM,B - Good,Picric Acid
17,Epoxy,A - Excellent,Picric Acid
18,Fluorocarbon (FKM),A - Excellent,Picric Acid
19,Hastelloy-C®,B - Good,Picric Acid
20,Hypalon®,B - Good,Picric Acid
21,Hytrel®,N/A,Picric Acid
22,Kalrez,A - Excellent,Picric Acid
23,Kel-F®,A - Excellent,Picric Acid
24,LDPE,A - Excellent,Picric Acid
25,Natural rubber,D - Poor,Picric Acid
26,Neoprene,A - Excellent,Picric Acid
27,NORYL®,N/A,Picric Acid
28,Nylon,C1 - Fair,Picric Acid
29,Polycarbonate,D - Poor,Picric Acid
30,Polyetherether Ketone (PEEK),A - Excellent,Picric Acid
31,Polypropylene,B1 - Good,Picric Acid
32,Polyurethane,B - Good,Picric Acid
33,PPS (Ryton®),A - Excellent,Picric Acid
34,PTFE,A - Excellent,Picric Acid
35,PVC,D - Poor,Picric Acid
36,PVDF (Kynar®),A1 - Excellent,Picric Acid
37,Silicone,D - Poor,Picric Acid
38,stainless steel - 304,B - Good,Picric Acid
39,stainless steel - 316,B - Good,Picric Acid
40,Titanium,A - Excellent,Picric Acid
41,Tygon®,D - Poor,Picric Acid
42,Viton®,A - Excellent,Picric Acid
