,material,compatibility,chemical
0,,,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
1,ABS plastic,N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
2,Acetal (Delrin®),D - Poor,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
3,Aluminum,A - Excellent,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
4,Brass,N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
5,Bronze,N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
6,Buna N (Nitrile),D - Poor,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
7,Carbon graphite,N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
8,Carbon Steel,N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
9,Carpenter 20,N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
10,Cast iron,N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
11,Ceramic Al203,N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
12,Ceramic magnet,N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
13,ChemRaz (FFKM),N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
14,Copper,N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
15,CPVC,A - Excellent,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
16,EPDM,N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
17,Epoxy,B - Good,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
18,Fluorocarbon (FKM),N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
19,Hastelloy-C®,N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
20,Hypalon®,N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
21,Hytrel®,N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
22,Kalrez,N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
23,Kel-F®,N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
24,LDPE,N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
25,Natural rubber,N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
26,Neoprene,D - Poor,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
27,NORYL®,A - Excellent,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
28,Nylon,A - Excellent,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
29,Polycarbonate,N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
30,Polyetherether Ketone (PEEK),N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
31,Polypropylene,A - Excellent,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
32,Polyurethane,D - Poor,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
33,PPS (Ryton®),N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
34,PTFE,A - Excellent,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
35,PVC,A - Excellent,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
36,PVDF (Kynar®),A - Excellent,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
37,Silicone,N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
38,stainless steel - 304,N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
39,stainless steel - 316,N/A,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
40,Titanium,A - Excellent,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
41,Tygon®,D - Poor,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
42,Viton®,A - Excellent,"Plating Solutions,   Copper Plating (Misc):    Copper (Electroless)"
