,material,compatibility,chemical
0,,,"Plating Solutions,   Indium Sulfamate Plating R.T."
1,ABS plastic,N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
2,Acetal (Delrin®),N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
3,Aluminum,N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
4,Brass,N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
5,Bronze,N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
6,Buna N (Nitrile),A - Excellent,"Plating Solutions,   Indium Sulfamate Plating R.T."
7,Carbon graphite,N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
8,Carbon Steel,N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
9,Carpenter 20,N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
10,Cast iron,N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
11,Ceramic Al203,A - Excellent,"Plating Solutions,   Indium Sulfamate Plating R.T."
12,Ceramic magnet,N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
13,ChemRaz (FFKM),N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
14,Copper,N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
15,CPVC,A - Excellent,"Plating Solutions,   Indium Sulfamate Plating R.T."
16,EPDM,N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
17,Epoxy,A - Excellent,"Plating Solutions,   Indium Sulfamate Plating R.T."
18,Fluorocarbon (FKM),N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
19,Hastelloy-C®,A - Excellent,"Plating Solutions,   Indium Sulfamate Plating R.T."
20,Hypalon®,N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
21,Hytrel®,N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
22,Kalrez,N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
23,Kel-F®,N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
24,LDPE,N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
25,Natural rubber,N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
26,Neoprene,A - Excellent,"Plating Solutions,   Indium Sulfamate Plating R.T."
27,NORYL®,A - Excellent,"Plating Solutions,   Indium Sulfamate Plating R.T."
28,Nylon,D - Poor,"Plating Solutions,   Indium Sulfamate Plating R.T."
29,Polycarbonate,N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
30,Polyetherether Ketone (PEEK),N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
31,Polypropylene,A - Excellent,"Plating Solutions,   Indium Sulfamate Plating R.T."
32,Polyurethane,N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
33,PPS (Ryton®),N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
34,PTFE,A - Excellent,"Plating Solutions,   Indium Sulfamate Plating R.T."
35,PVC,A - Excellent,"Plating Solutions,   Indium Sulfamate Plating R.T."
36,PVDF (Kynar®),N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
37,Silicone,N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
38,stainless steel - 304,N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
39,stainless steel - 316,C - Fair,"Plating Solutions,   Indium Sulfamate Plating R.T."
40,Titanium,A - Excellent,"Plating Solutions,   Indium Sulfamate Plating R.T."
41,Tygon®,N/A,"Plating Solutions,   Indium Sulfamate Plating R.T."
42,Viton®,A - Excellent,"Plating Solutions,   Indium Sulfamate Plating R.T."
