,material,compatibility,chemical
0,,,"Plating Solutions,   Lead Fluoborate Plating"
1,ABS plastic,N/A,"Plating Solutions,   Lead Fluoborate Plating"
2,Acetal (Delrin®),N/A,"Plating Solutions,   Lead Fluoborate Plating"
3,Aluminum,N/A,"Plating Solutions,   Lead Fluoborate Plating"
4,Brass,N/A,"Plating Solutions,   Lead Fluoborate Plating"
5,Bronze,N/A,"Plating Solutions,   Lead Fluoborate Plating"
6,Buna N (Nitrile),B - Good,"Plating Solutions,   Lead Fluoborate Plating"
7,Carbon graphite,N/A,"Plating Solutions,   Lead Fluoborate Plating"
8,Carbon Steel,N/A,"Plating Solutions,   Lead Fluoborate Plating"
9,Carpenter 20,N/A,"Plating Solutions,   Lead Fluoborate Plating"
10,Cast iron,N/A,"Plating Solutions,   Lead Fluoborate Plating"
11,Ceramic Al203,N/A,"Plating Solutions,   Lead Fluoborate Plating"
12,Ceramic magnet,N/A,"Plating Solutions,   Lead Fluoborate Plating"
13,ChemRaz (FFKM),N/A,"Plating Solutions,   Lead Fluoborate Plating"
14,Copper,N/A,"Plating Solutions,   Lead Fluoborate Plating"
15,CPVC,D - Poor,"Plating Solutions,   Lead Fluoborate Plating"
16,EPDM,N/A,"Plating Solutions,   Lead Fluoborate Plating"
17,Epoxy,D - Poor,"Plating Solutions,   Lead Fluoborate Plating"
18,Fluorocarbon (FKM),N/A,"Plating Solutions,   Lead Fluoborate Plating"
19,Hastelloy-C®,D - Poor,"Plating Solutions,   Lead Fluoborate Plating"
20,Hypalon®,N/A,"Plating Solutions,   Lead Fluoborate Plating"
21,Hytrel®,N/A,"Plating Solutions,   Lead Fluoborate Plating"
22,Kalrez,N/A,"Plating Solutions,   Lead Fluoborate Plating"
23,Kel-F®,N/A,"Plating Solutions,   Lead Fluoborate Plating"
24,LDPE,N/A,"Plating Solutions,   Lead Fluoborate Plating"
25,Natural rubber,N/A,"Plating Solutions,   Lead Fluoborate Plating"
26,Neoprene,C - Fair,"Plating Solutions,   Lead Fluoborate Plating"
27,NORYL®,A - Excellent,"Plating Solutions,   Lead Fluoborate Plating"
28,Nylon,D - Poor,"Plating Solutions,   Lead Fluoborate Plating"
29,Polycarbonate,N/A,"Plating Solutions,   Lead Fluoborate Plating"
30,Polyetherether Ketone (PEEK),N/A,"Plating Solutions,   Lead Fluoborate Plating"
31,Polypropylene,A - Excellent,"Plating Solutions,   Lead Fluoborate Plating"
32,Polyurethane,N/A,"Plating Solutions,   Lead Fluoborate Plating"
33,PPS (Ryton®),N/A,"Plating Solutions,   Lead Fluoborate Plating"
34,PTFE,A - Excellent,"Plating Solutions,   Lead Fluoborate Plating"
35,PVC,D - Poor,"Plating Solutions,   Lead Fluoborate Plating"
36,PVDF (Kynar®),N/A,"Plating Solutions,   Lead Fluoborate Plating"
37,Silicone,N/A,"Plating Solutions,   Lead Fluoborate Plating"
38,stainless steel - 304,N/A,"Plating Solutions,   Lead Fluoborate Plating"
39,stainless steel - 316,D - Poor,"Plating Solutions,   Lead Fluoborate Plating"
40,Titanium,A - Excellent,"Plating Solutions,   Lead Fluoborate Plating"
41,Tygon®,N/A,"Plating Solutions,   Lead Fluoborate Plating"
42,Viton®,A - Excellent,"Plating Solutions,   Lead Fluoborate Plating"
