,material,compatibility,chemical
0,,,Potash (Potassium Carbonate)
1,ABS plastic,A - Excellent,Potash (Potassium Carbonate)
2,Acetal (Delrin®),B - Good,Potash (Potassium Carbonate)
3,Aluminum,D - Poor,Potash (Potassium Carbonate)
4,Brass,N/A,Potash (Potassium Carbonate)
5,Bronze,B - Good,Potash (Potassium Carbonate)
6,Buna N (Nitrile),A - Excellent,Potash (Potassium Carbonate)
7,Carbon graphite,A - Excellent,Potash (Potassium Carbonate)
8,Carbon Steel,B - Good,Potash (Potassium Carbonate)
9,Carpenter 20,B - Good,Potash (Potassium Carbonate)
10,Cast iron,C - Fair,Potash (Potassium Carbonate)
11,Ceramic Al203,D - Poor,Potash (Potassium Carbonate)
12,Ceramic magnet,N/A,Potash (Potassium Carbonate)
13,ChemRaz (FFKM),A - Excellent,Potash (Potassium Carbonate)
14,Copper,B - Good,Potash (Potassium Carbonate)
15,CPVC,A - Excellent,Potash (Potassium Carbonate)
16,EPDM,A1 - Excellent,Potash (Potassium Carbonate)
17,Epoxy,A - Excellent,Potash (Potassium Carbonate)
18,Fluorocarbon (FKM),A - Excellent,Potash (Potassium Carbonate)
19,Hastelloy-C®,B - Good,Potash (Potassium Carbonate)
20,Hypalon®,N/A,Potash (Potassium Carbonate)
21,Hytrel®,D - Poor,Potash (Potassium Carbonate)
22,Kalrez,A - Excellent,Potash (Potassium Carbonate)
23,Kel-F®,N/A,Potash (Potassium Carbonate)
24,LDPE,A1 - Excellent,Potash (Potassium Carbonate)
25,Natural rubber,A - Excellent,Potash (Potassium Carbonate)
26,Neoprene,A - Excellent,Potash (Potassium Carbonate)
27,NORYL®,A - Excellent,Potash (Potassium Carbonate)
28,Nylon,A - Excellent,Potash (Potassium Carbonate)
29,Polycarbonate,N/A,Potash (Potassium Carbonate)
30,Polyetherether Ketone (PEEK),A - Excellent,Potash (Potassium Carbonate)
31,Polypropylene,A - Excellent,Potash (Potassium Carbonate)
32,Polyurethane,D - Poor,Potash (Potassium Carbonate)
33,PPS (Ryton®),N/A,Potash (Potassium Carbonate)
34,PTFE,N/A,Potash (Potassium Carbonate)
35,PVC,A - Excellent,Potash (Potassium Carbonate)
36,PVDF (Kynar®),A - Excellent,Potash (Potassium Carbonate)
37,Silicone,N/A,Potash (Potassium Carbonate)
38,stainless steel - 304,B - Good,Potash (Potassium Carbonate)
39,stainless steel - 316,B - Good,Potash (Potassium Carbonate)
40,Titanium,A - Excellent,Potash (Potassium Carbonate)
41,Tygon®,B - Good,Potash (Potassium Carbonate)
42,Viton®,A - Excellent,Potash (Potassium Carbonate)
