,material,compatibility,chemical
0,,,Potassium Bicarbonate
1,ABS plastic,A - Excellent,Potassium Bicarbonate
2,Acetal (Delrin®),C - Fair,Potassium Bicarbonate
3,Aluminum,D - Poor,Potassium Bicarbonate
4,Brass,N/A,Potassium Bicarbonate
5,Bronze,B - Good,Potassium Bicarbonate
6,Buna N (Nitrile),A - Excellent,Potassium Bicarbonate
7,Carbon graphite,A - Excellent,Potassium Bicarbonate
8,Carbon Steel,B - Good,Potassium Bicarbonate
9,Carpenter 20,B - Good,Potassium Bicarbonate
10,Cast iron,A - Excellent,Potassium Bicarbonate
11,Ceramic Al203,A - Excellent,Potassium Bicarbonate
12,Ceramic magnet,A - Excellent,Potassium Bicarbonate
13,ChemRaz (FFKM),A - Excellent,Potassium Bicarbonate
14,Copper,B - Good,Potassium Bicarbonate
15,CPVC,A - Excellent,Potassium Bicarbonate
16,EPDM,A - Excellent,Potassium Bicarbonate
17,Epoxy,A - Excellent,Potassium Bicarbonate
18,Fluorocarbon (FKM),A - Excellent,Potassium Bicarbonate
19,Hastelloy-C®,B - Good,Potassium Bicarbonate
20,Hypalon®,N/A,Potassium Bicarbonate
21,Hytrel®,N/A,Potassium Bicarbonate
22,Kalrez,A - Excellent,Potassium Bicarbonate
23,Kel-F®,A - Excellent,Potassium Bicarbonate
24,LDPE,A - Excellent,Potassium Bicarbonate
25,Natural rubber,A - Excellent,Potassium Bicarbonate
26,Neoprene,A - Excellent,Potassium Bicarbonate
27,NORYL®,A1 - Excellent,Potassium Bicarbonate
28,Nylon,A1 - Excellent,Potassium Bicarbonate
29,Polycarbonate,N/A,Potassium Bicarbonate
30,Polyetherether Ketone (PEEK),A - Excellent,Potassium Bicarbonate
31,Polypropylene,A - Excellent,Potassium Bicarbonate
32,Polyurethane,D - Poor,Potassium Bicarbonate
33,PPS (Ryton®),A - Excellent,Potassium Bicarbonate
34,PTFE,A - Excellent,Potassium Bicarbonate
35,PVC,A - Excellent,Potassium Bicarbonate
36,PVDF (Kynar®),B - Good,Potassium Bicarbonate
37,Silicone,A1 - Excellent,Potassium Bicarbonate
38,stainless steel - 304,B - Good,Potassium Bicarbonate
39,stainless steel - 316,B - Good,Potassium Bicarbonate
40,Titanium,A - Excellent,Potassium Bicarbonate
41,Tygon®,A - Excellent,Potassium Bicarbonate
42,Viton®,A - Excellent,Potassium Bicarbonate
