,material,compatibility,chemical
0,,,Potassium Bromide
1,ABS plastic,A1 - Excellent,Potassium Bromide
2,Acetal (Delrin®),A - Excellent,Potassium Bromide
3,Aluminum,C1 - Fair,Potassium Bromide
4,Brass,N/A,Potassium Bromide
5,Bronze,B - Good,Potassium Bromide
6,Buna N (Nitrile),A - Excellent,Potassium Bromide
7,Carbon graphite,A - Excellent,Potassium Bromide
8,Carbon Steel,N/A,Potassium Bromide
9,Carpenter 20,B - Good,Potassium Bromide
10,Cast iron,D - Poor,Potassium Bromide
11,Ceramic Al203,C - Fair,Potassium Bromide
12,Ceramic magnet,A - Excellent,Potassium Bromide
13,ChemRaz (FFKM),A - Excellent,Potassium Bromide
14,Copper,B - Good,Potassium Bromide
15,CPVC,A - Excellent,Potassium Bromide
16,EPDM,A1 - Excellent,Potassium Bromide
17,Epoxy,A - Excellent,Potassium Bromide
18,Fluorocarbon (FKM),A - Excellent,Potassium Bromide
19,Hastelloy-C®,B - Good,Potassium Bromide
20,Hypalon®,N/A,Potassium Bromide
21,Hytrel®,N/A,Potassium Bromide
22,Kalrez,A - Excellent,Potassium Bromide
23,Kel-F®,A - Excellent,Potassium Bromide
24,LDPE,A - Excellent,Potassium Bromide
25,Natural rubber,A - Excellent,Potassium Bromide
26,Neoprene,A - Excellent,Potassium Bromide
27,NORYL®,A1 - Excellent,Potassium Bromide
28,Nylon,A1 - Excellent,Potassium Bromide
29,Polycarbonate,A1 - Excellent,Potassium Bromide
30,Polyetherether Ketone (PEEK),N/A,Potassium Bromide
31,Polypropylene,A - Excellent,Potassium Bromide
32,Polyurethane,D - Poor,Potassium Bromide
33,PPS (Ryton®),A - Excellent,Potassium Bromide
34,PTFE,A - Excellent,Potassium Bromide
35,PVC,A - Excellent,Potassium Bromide
36,PVDF (Kynar®),A - Excellent,Potassium Bromide
37,Silicone,A1 - Excellent,Potassium Bromide
38,stainless steel - 304,B - Good,Potassium Bromide
39,stainless steel - 316,B - Good,Potassium Bromide
40,Titanium,A - Excellent,Potassium Bromide
41,Tygon®,B - Good,Potassium Bromide
42,Viton®,A - Excellent,Potassium Bromide
