,material,compatibility,chemical
0,,,Potassium Chlorate
1,ABS plastic,A - Excellent,Potassium Chlorate
2,Acetal (Delrin®),B - Good,Potassium Chlorate
3,Aluminum,B - Good,Potassium Chlorate
4,Brass,N/A,Potassium Chlorate
5,Bronze,B1 - Good,Potassium Chlorate
6,Buna N (Nitrile),A1 - Excellent,Potassium Chlorate
7,Carbon graphite,A2 - Excellent,Potassium Chlorate
8,Carbon Steel,N/A,Potassium Chlorate
9,Carpenter 20,B - Good,Potassium Chlorate
10,Cast iron,C - Fair,Potassium Chlorate
11,Ceramic Al203,B - Good,Potassium Chlorate
12,Ceramic magnet,N/A,Potassium Chlorate
13,ChemRaz (FFKM),A - Excellent,Potassium Chlorate
14,Copper,B1 - Good,Potassium Chlorate
15,CPVC,A - Excellent,Potassium Chlorate
16,EPDM,A1 - Excellent,Potassium Chlorate
17,Epoxy,A - Excellent,Potassium Chlorate
18,Fluorocarbon (FKM),A - Excellent,Potassium Chlorate
19,Hastelloy-C®,B - Good,Potassium Chlorate
20,Hypalon®,N/A,Potassium Chlorate
21,Hytrel®,N/A,Potassium Chlorate
22,Kalrez,A - Excellent,Potassium Chlorate
23,Kel-F®,A2 - Excellent,Potassium Chlorate
24,LDPE,A1 - Excellent,Potassium Chlorate
25,Natural rubber,N/A,Potassium Chlorate
26,Neoprene,A - Excellent,Potassium Chlorate
27,NORYL®,A1 - Excellent,Potassium Chlorate
28,Nylon,C1 - Fair,Potassium Chlorate
29,Polycarbonate,A1 - Excellent,Potassium Chlorate
30,Polyetherether Ketone (PEEK),A - Excellent,Potassium Chlorate
31,Polypropylene,A - Excellent,Potassium Chlorate
32,Polyurethane,A - Excellent,Potassium Chlorate
33,PPS (Ryton®),A - Excellent,Potassium Chlorate
34,PTFE,A - Excellent,Potassium Chlorate
35,PVC,A - Excellent,Potassium Chlorate
36,PVDF (Kynar®),A - Excellent,Potassium Chlorate
37,Silicone,B - Good,Potassium Chlorate
38,stainless steel - 304,B1 - Good,Potassium Chlorate
39,stainless steel - 316,B - Good,Potassium Chlorate
40,Titanium,A - Excellent,Potassium Chlorate
41,Tygon®,B - Good,Potassium Chlorate
42,Viton®,A - Excellent,Potassium Chlorate
