,material,compatibility,chemical
0,,,Potassium Chloride
1,ABS plastic,A - Excellent,Potassium Chloride
2,Acetal (Delrin®),A - Excellent,Potassium Chloride
3,Aluminum,D - Poor,Potassium Chloride
4,Brass,D - Poor,Potassium Chloride
5,Bronze,B - Good,Potassium Chloride
6,Buna N (Nitrile),A1 - Excellent,Potassium Chloride
7,Carbon graphite,A - Excellent,Potassium Chloride
8,Carbon Steel,D - Poor,Potassium Chloride
9,Carpenter 20,A - Excellent,Potassium Chloride
10,Cast iron,A - Excellent,Potassium Chloride
11,Ceramic Al203,N/A,Potassium Chloride
12,Ceramic magnet,N/A,Potassium Chloride
13,ChemRaz (FFKM),A - Excellent,Potassium Chloride
14,Copper,B - Good,Potassium Chloride
15,CPVC,A - Excellent,Potassium Chloride
16,EPDM,A1 - Excellent,Potassium Chloride
17,Epoxy,A - Excellent,Potassium Chloride
18,Fluorocarbon (FKM),A - Excellent,Potassium Chloride
19,Hastelloy-C®,A - Excellent,Potassium Chloride
20,Hypalon®,A - Excellent,Potassium Chloride
21,Hytrel®,B - Good,Potassium Chloride
22,Kalrez,A - Excellent,Potassium Chloride
23,Kel-F®,A - Excellent,Potassium Chloride
24,LDPE,A1 - Excellent,Potassium Chloride
25,Natural rubber,A - Excellent,Potassium Chloride
26,Neoprene,A - Excellent,Potassium Chloride
27,NORYL®,A1 - Excellent,Potassium Chloride
28,Nylon,A1 - Excellent,Potassium Chloride
29,Polycarbonate,A - Excellent,Potassium Chloride
30,Polyetherether Ketone (PEEK),A - Excellent,Potassium Chloride
31,Polypropylene,A - Excellent,Potassium Chloride
32,Polyurethane,A - Excellent,Potassium Chloride
33,PPS (Ryton®),A - Excellent,Potassium Chloride
34,PTFE,A - Excellent,Potassium Chloride
35,PVC,A - Excellent,Potassium Chloride
36,PVDF (Kynar®),A - Excellent,Potassium Chloride
37,Silicone,A - Excellent,Potassium Chloride
38,stainless steel - 304,B1 - Good,Potassium Chloride
39,stainless steel - 316,A1 - Excellent,Potassium Chloride
40,Titanium,A - Excellent,Potassium Chloride
41,Tygon®,A - Excellent,Potassium Chloride
42,Viton®,A - Excellent,Potassium Chloride
