,material,compatibility,chemical
0,,,Potassium Chromate
1,ABS plastic,N/A,Potassium Chromate
2,Acetal (Delrin®),C - Fair,Potassium Chromate
3,Aluminum,B1 - Good,Potassium Chromate
4,Brass,N/A,Potassium Chromate
5,Bronze,B1 - Good,Potassium Chromate
6,Buna N (Nitrile),A1 - Excellent,Potassium Chromate
7,Carbon graphite,A - Excellent,Potassium Chromate
8,Carbon Steel,B - Good,Potassium Chromate
9,Carpenter 20,B - Good,Potassium Chromate
10,Cast iron,A - Excellent,Potassium Chromate
11,Ceramic Al203,B - Good,Potassium Chromate
12,Ceramic magnet,N/A,Potassium Chromate
13,ChemRaz (FFKM),A - Excellent,Potassium Chromate
14,Copper,N/A,Potassium Chromate
15,CPVC,A - Excellent,Potassium Chromate
16,EPDM,A2 - Excellent,Potassium Chromate
17,Epoxy,C - Fair,Potassium Chromate
18,Fluorocarbon (FKM),A - Excellent,Potassium Chromate
19,Hastelloy-C®,A - Excellent,Potassium Chromate
20,Hypalon®,N/A,Potassium Chromate
21,Hytrel®,N/A,Potassium Chromate
22,Kalrez,A - Excellent,Potassium Chromate
23,Kel-F®,N/A,Potassium Chromate
24,LDPE,A - Excellent,Potassium Chromate
25,Natural rubber,B - Good,Potassium Chromate
26,Neoprene,A - Excellent,Potassium Chromate
27,NORYL®,A2 - Excellent,Potassium Chromate
28,Nylon,B - Good,Potassium Chromate
29,Polycarbonate,N/A,Potassium Chromate
30,Polyetherether Ketone (PEEK),N/A,Potassium Chromate
31,Polypropylene,A - Excellent,Potassium Chromate
32,Polyurethane,B - Good,Potassium Chromate
33,PPS (Ryton®),N/A,Potassium Chromate
34,PTFE,A1 - Excellent,Potassium Chromate
35,PVC,A - Excellent,Potassium Chromate
36,PVDF (Kynar®),B - Good,Potassium Chromate
37,Silicone,N/A,Potassium Chromate
38,stainless steel - 304,B1 - Good,Potassium Chromate
39,stainless steel - 316,B1 - Good,Potassium Chromate
40,Titanium,N/A,Potassium Chromate
41,Tygon®,B - Good,Potassium Chromate
42,Viton®,A - Excellent,Potassium Chromate
