,material,compatibility,chemical
0,,,Potassium Cyanide Solutions
1,ABS plastic,A - Excellent,Potassium Cyanide Solutions
2,Acetal (Delrin®),C - Fair,Potassium Cyanide Solutions
3,Aluminum,D - Poor,Potassium Cyanide Solutions
4,Brass,D - Poor,Potassium Cyanide Solutions
5,Bronze,D - Poor,Potassium Cyanide Solutions
6,Buna N (Nitrile),A1 - Excellent,Potassium Cyanide Solutions
7,Carbon graphite,A - Excellent,Potassium Cyanide Solutions
8,Carbon Steel,B - Good,Potassium Cyanide Solutions
9,Carpenter 20,B - Good,Potassium Cyanide Solutions
10,Cast iron,B - Good,Potassium Cyanide Solutions
11,Ceramic Al203,D - Poor,Potassium Cyanide Solutions
12,Ceramic magnet,N/A,Potassium Cyanide Solutions
13,ChemRaz (FFKM),A - Excellent,Potassium Cyanide Solutions
14,Copper,D - Poor,Potassium Cyanide Solutions
15,CPVC,A - Excellent,Potassium Cyanide Solutions
16,EPDM,A1 - Excellent,Potassium Cyanide Solutions
17,Epoxy,A - Excellent,Potassium Cyanide Solutions
18,Fluorocarbon (FKM),A - Excellent,Potassium Cyanide Solutions
19,Hastelloy-C®,B - Good,Potassium Cyanide Solutions
20,Hypalon®,A - Excellent,Potassium Cyanide Solutions
21,Hytrel®,B - Good,Potassium Cyanide Solutions
22,Kalrez,A - Excellent,Potassium Cyanide Solutions
23,Kel-F®,A - Excellent,Potassium Cyanide Solutions
24,LDPE,A - Excellent,Potassium Cyanide Solutions
25,Natural rubber,A - Excellent,Potassium Cyanide Solutions
26,Neoprene,B - Good,Potassium Cyanide Solutions
27,NORYL®,A1 - Excellent,Potassium Cyanide Solutions
28,Nylon,A1 - Excellent,Potassium Cyanide Solutions
29,Polycarbonate,N/A,Potassium Cyanide Solutions
30,Polyetherether Ketone (PEEK),N/A,Potassium Cyanide Solutions
31,Polypropylene,A - Excellent,Potassium Cyanide Solutions
32,Polyurethane,A - Excellent,Potassium Cyanide Solutions
33,PPS (Ryton®),A - Excellent,Potassium Cyanide Solutions
34,PTFE,A - Excellent,Potassium Cyanide Solutions
35,PVC,A - Excellent,Potassium Cyanide Solutions
36,PVDF (Kynar®),A - Excellent,Potassium Cyanide Solutions
37,Silicone,A - Excellent,Potassium Cyanide Solutions
38,stainless steel - 304,B1 - Good,Potassium Cyanide Solutions
39,stainless steel - 316,B1 - Good,Potassium Cyanide Solutions
40,Titanium,A - Excellent,Potassium Cyanide Solutions
41,Tygon®,A - Excellent,Potassium Cyanide Solutions
42,Viton®,A - Excellent,Potassium Cyanide Solutions
