,material,compatibility,chemical
0,,,Potassium Dichromate
1,ABS plastic,B1 - Good,Potassium Dichromate
2,Acetal (Delrin®),A - Excellent,Potassium Dichromate
3,Aluminum,B - Good,Potassium Dichromate
4,Brass,N/A,Potassium Dichromate
5,Bronze,B1 - Good,Potassium Dichromate
6,Buna N (Nitrile),A1 - Excellent,Potassium Dichromate
7,Carbon graphite,A - Excellent,Potassium Dichromate
8,Carbon Steel,B - Good,Potassium Dichromate
9,Carpenter 20,B - Good,Potassium Dichromate
10,Cast iron,A - Excellent,Potassium Dichromate
11,Ceramic Al203,B - Good,Potassium Dichromate
12,Ceramic magnet,A - Excellent,Potassium Dichromate
13,ChemRaz (FFKM),A - Excellent,Potassium Dichromate
14,Copper,B - Good,Potassium Dichromate
15,CPVC,A - Excellent,Potassium Dichromate
16,EPDM,A1 - Excellent,Potassium Dichromate
17,Epoxy,C - Fair,Potassium Dichromate
18,Fluorocarbon (FKM),A - Excellent,Potassium Dichromate
19,Hastelloy-C®,B - Good,Potassium Dichromate
20,Hypalon®,A - Excellent,Potassium Dichromate
21,Hytrel®,C - Fair,Potassium Dichromate
22,Kalrez,A - Excellent,Potassium Dichromate
23,Kel-F®,A - Excellent,Potassium Dichromate
24,LDPE,A - Excellent,Potassium Dichromate
25,Natural rubber,B - Good,Potassium Dichromate
26,Neoprene,A - Excellent,Potassium Dichromate
27,NORYL®,A1 - Excellent,Potassium Dichromate
28,Nylon,B1 - Good,Potassium Dichromate
29,Polycarbonate,A1 - Excellent,Potassium Dichromate
30,Polyetherether Ketone (PEEK),N/A,Potassium Dichromate
31,Polypropylene,A - Excellent,Potassium Dichromate
32,Polyurethane,B - Good,Potassium Dichromate
33,PPS (Ryton®),A - Excellent,Potassium Dichromate
34,PTFE,A - Excellent,Potassium Dichromate
35,PVC,A - Excellent,Potassium Dichromate
36,PVDF (Kynar®),A - Excellent,Potassium Dichromate
37,Silicone,A - Excellent,Potassium Dichromate
38,stainless steel - 304,B - Good,Potassium Dichromate
39,stainless steel - 316,B1 - Good,Potassium Dichromate
40,Titanium,A - Excellent,Potassium Dichromate
41,Tygon®,C - Fair,Potassium Dichromate
42,Viton®,A - Excellent,Potassium Dichromate
