,material,compatibility,chemical
0,,,Potassium Ferricyanide
1,ABS plastic,B - Good,Potassium Ferricyanide
2,Acetal (Delrin®),B1 - Good,Potassium Ferricyanide
3,Aluminum,B2 - Good,Potassium Ferricyanide
4,Brass,N/A,Potassium Ferricyanide
5,Bronze,B2 - Good,Potassium Ferricyanide
6,Buna N (Nitrile),D - Poor,Potassium Ferricyanide
7,Carbon graphite,A2 - Excellent,Potassium Ferricyanide
8,Carbon Steel,D - Poor,Potassium Ferricyanide
9,Carpenter 20,B - Good,Potassium Ferricyanide
10,Cast iron,C - Fair,Potassium Ferricyanide
11,Ceramic Al203,B - Good,Potassium Ferricyanide
12,Ceramic magnet,A - Excellent,Potassium Ferricyanide
13,ChemRaz (FFKM),A - Excellent,Potassium Ferricyanide
14,Copper,B - Good,Potassium Ferricyanide
15,CPVC,A - Excellent,Potassium Ferricyanide
16,EPDM,A - Excellent,Potassium Ferricyanide
17,Epoxy,A1 - Excellent,Potassium Ferricyanide
18,Fluorocarbon (FKM),A - Excellent,Potassium Ferricyanide
19,Hastelloy-C®,B2 - Good,Potassium Ferricyanide
20,Hypalon®,A1 - Excellent,Potassium Ferricyanide
21,Hytrel®,N/A,Potassium Ferricyanide
22,Kalrez,A - Excellent,Potassium Ferricyanide
23,Kel-F®,A1 - Excellent,Potassium Ferricyanide
24,LDPE,A2 - Excellent,Potassium Ferricyanide
25,Natural rubber,B - Good,Potassium Ferricyanide
26,Neoprene,A1 - Excellent,Potassium Ferricyanide
27,NORYL®,A2 - Excellent,Potassium Ferricyanide
28,Nylon,B1 - Good,Potassium Ferricyanide
29,Polycarbonate,N/A,Potassium Ferricyanide
30,Polyetherether Ketone (PEEK),A - Excellent,Potassium Ferricyanide
31,Polypropylene,A2 - Excellent,Potassium Ferricyanide
32,Polyurethane,N/A,Potassium Ferricyanide
33,PPS (Ryton®),N/A,Potassium Ferricyanide
34,PTFE,A2 - Excellent,Potassium Ferricyanide
35,PVC,A - Excellent,Potassium Ferricyanide
36,PVDF (Kynar®),A2 - Excellent,Potassium Ferricyanide
37,Silicone,N/A,Potassium Ferricyanide
38,stainless steel - 304,B1 - Good,Potassium Ferricyanide
39,stainless steel - 316,B1 - Good,Potassium Ferricyanide
40,Titanium,A2 - Excellent,Potassium Ferricyanide
41,Tygon®,B - Good,Potassium Ferricyanide
42,Viton®,A - Excellent,Potassium Ferricyanide
