,material,compatibility,chemical
0,,,Potassium Ferrocyanide
1,ABS plastic,N/A,Potassium Ferrocyanide
2,Acetal (Delrin®),N/A,Potassium Ferrocyanide
3,Aluminum,B1 - Good,Potassium Ferrocyanide
4,Brass,N/A,Potassium Ferrocyanide
5,Bronze,B1 - Good,Potassium Ferrocyanide
6,Buna N (Nitrile),D - Poor,Potassium Ferrocyanide
7,Carbon graphite,A - Excellent,Potassium Ferrocyanide
8,Carbon Steel,D - Poor,Potassium Ferrocyanide
9,Carpenter 20,B - Good,Potassium Ferrocyanide
10,Cast iron,C - Fair,Potassium Ferrocyanide
11,Ceramic Al203,B - Good,Potassium Ferrocyanide
12,Ceramic magnet,A - Excellent,Potassium Ferrocyanide
13,ChemRaz (FFKM),A - Excellent,Potassium Ferrocyanide
14,Copper,B - Good,Potassium Ferrocyanide
15,CPVC,B - Good,Potassium Ferrocyanide
16,EPDM,A - Excellent,Potassium Ferrocyanide
17,Epoxy,A - Excellent,Potassium Ferrocyanide
18,Fluorocarbon (FKM),A - Excellent,Potassium Ferrocyanide
19,Hastelloy-C®,B - Good,Potassium Ferrocyanide
20,Hypalon®,N/A,Potassium Ferrocyanide
21,Hytrel®,N/A,Potassium Ferrocyanide
22,Kalrez,N/A,Potassium Ferrocyanide
23,Kel-F®,A - Excellent,Potassium Ferrocyanide
24,LDPE,A1 - Excellent,Potassium Ferrocyanide
25,Natural rubber,A - Excellent,Potassium Ferrocyanide
26,Neoprene,A - Excellent,Potassium Ferrocyanide
27,NORYL®,A - Excellent,Potassium Ferrocyanide
28,Nylon,B1 - Good,Potassium Ferrocyanide
29,Polycarbonate,N/A,Potassium Ferrocyanide
30,Polyetherether Ketone (PEEK),A - Excellent,Potassium Ferrocyanide
31,Polypropylene,A - Excellent,Potassium Ferrocyanide
32,Polyurethane,B - Good,Potassium Ferrocyanide
33,PPS (Ryton®),N/A,Potassium Ferrocyanide
34,PTFE,A - Excellent,Potassium Ferrocyanide
35,PVC,A - Excellent,Potassium Ferrocyanide
36,PVDF (Kynar®),A - Excellent,Potassium Ferrocyanide
37,Silicone,N/A,Potassium Ferrocyanide
38,stainless steel - 304,B - Good,Potassium Ferrocyanide
39,stainless steel - 316,B - Good,Potassium Ferrocyanide
40,Titanium,A - Excellent,Potassium Ferrocyanide
41,Tygon®,B - Good,Potassium Ferrocyanide
42,Viton®,A - Excellent,Potassium Ferrocyanide
