,material,compatibility,chemical
0,,,Potassium Hydroxide (Caustic Potash)
1,ABS plastic,A - Excellent,Potassium Hydroxide (Caustic Potash)
2,Acetal (Delrin®),A - Excellent,Potassium Hydroxide (Caustic Potash)
3,Aluminum,D - Poor,Potassium Hydroxide (Caustic Potash)
4,Brass,D - Poor,Potassium Hydroxide (Caustic Potash)
5,Bronze,D - Poor,Potassium Hydroxide (Caustic Potash)
6,Buna N (Nitrile),B1 - Good,Potassium Hydroxide (Caustic Potash)
7,Carbon graphite,C - Fair,Potassium Hydroxide (Caustic Potash)
8,Carbon Steel,C - Fair,Potassium Hydroxide (Caustic Potash)
9,Carpenter 20,B - Good,Potassium Hydroxide (Caustic Potash)
10,Cast iron,B2 - Good,Potassium Hydroxide (Caustic Potash)
11,Ceramic Al203,D - Poor,Potassium Hydroxide (Caustic Potash)
12,Ceramic magnet,A - Excellent,Potassium Hydroxide (Caustic Potash)
13,ChemRaz (FFKM),C - Fair,Potassium Hydroxide (Caustic Potash)
14,Copper,B - Good,Potassium Hydroxide (Caustic Potash)
15,CPVC,A - Excellent,Potassium Hydroxide (Caustic Potash)
16,EPDM,A2 - Excellent,Potassium Hydroxide (Caustic Potash)
17,Epoxy,A - Excellent,Potassium Hydroxide (Caustic Potash)
18,Fluorocarbon (FKM),B - Good,Potassium Hydroxide (Caustic Potash)
19,Hastelloy-C®,B1 - Good,Potassium Hydroxide (Caustic Potash)
20,Hypalon®,A - Excellent,Potassium Hydroxide (Caustic Potash)
21,Hytrel®,D - Poor,Potassium Hydroxide (Caustic Potash)
22,Kalrez,A - Excellent,Potassium Hydroxide (Caustic Potash)
23,Kel-F®,B - Good,Potassium Hydroxide (Caustic Potash)
24,LDPE,A - Excellent,Potassium Hydroxide (Caustic Potash)
25,Natural rubber,B - Good,Potassium Hydroxide (Caustic Potash)
26,Neoprene,B - Good,Potassium Hydroxide (Caustic Potash)
27,NORYL®,A1 - Excellent,Potassium Hydroxide (Caustic Potash)
28,Nylon,C1 - Fair,Potassium Hydroxide (Caustic Potash)
29,Polycarbonate,D - Poor,Potassium Hydroxide (Caustic Potash)
30,Polyetherether Ketone (PEEK),A - Excellent,Potassium Hydroxide (Caustic Potash)
31,Polypropylene,A - Excellent,Potassium Hydroxide (Caustic Potash)
32,Polyurethane,D - Poor,Potassium Hydroxide (Caustic Potash)
33,PPS (Ryton®),A - Excellent,Potassium Hydroxide (Caustic Potash)
34,PTFE,A - Excellent,Potassium Hydroxide (Caustic Potash)
35,PVC,A1 - Excellent,Potassium Hydroxide (Caustic Potash)
36,PVDF (Kynar®),A - Excellent,Potassium Hydroxide (Caustic Potash)
37,Silicone,C - Fair,Potassium Hydroxide (Caustic Potash)
38,stainless steel - 304,B - Good,Potassium Hydroxide (Caustic Potash)
39,stainless steel - 316,A1 - Excellent,Potassium Hydroxide (Caustic Potash)
40,Titanium,D - Poor,Potassium Hydroxide (Caustic Potash)
41,Tygon®,B - Good,Potassium Hydroxide (Caustic Potash)
42,Viton®,B - Good,Potassium Hydroxide (Caustic Potash)
