,material,compatibility,chemical
0,,,Potassium Hypochlorite
1,ABS plastic,N/A,Potassium Hypochlorite
2,Acetal (Delrin®),N/A,Potassium Hypochlorite
3,Aluminum,D - Poor,Potassium Hypochlorite
4,Brass,N/A,Potassium Hypochlorite
5,Bronze,D - Poor,Potassium Hypochlorite
6,Buna N (Nitrile),A1 - Excellent,Potassium Hypochlorite
7,Carbon graphite,N/A,Potassium Hypochlorite
8,Carbon Steel,D - Poor,Potassium Hypochlorite
9,Carpenter 20,B - Good,Potassium Hypochlorite
10,Cast iron,A - Excellent,Potassium Hypochlorite
11,Ceramic Al203,D - Poor,Potassium Hypochlorite
12,Ceramic magnet,N/A,Potassium Hypochlorite
13,ChemRaz (FFKM),A - Excellent,Potassium Hypochlorite
14,Copper,D - Poor,Potassium Hypochlorite
15,CPVC,N/A,Potassium Hypochlorite
16,EPDM,A1 - Excellent,Potassium Hypochlorite
17,Epoxy,N/A,Potassium Hypochlorite
18,Fluorocarbon (FKM),D - Poor,Potassium Hypochlorite
19,Hastelloy-C®,B2 - Good,Potassium Hypochlorite
20,Hypalon®,A1 - Excellent,Potassium Hypochlorite
21,Hytrel®,N/A,Potassium Hypochlorite
22,Kalrez,A - Excellent,Potassium Hypochlorite
23,Kel-F®,N/A,Potassium Hypochlorite
24,LDPE,C1 - Fair,Potassium Hypochlorite
25,Natural rubber,C1 - Fair,Potassium Hypochlorite
26,Neoprene,B2 - Good,Potassium Hypochlorite
27,NORYL®,N/A,Potassium Hypochlorite
28,Nylon,B1 - Good,Potassium Hypochlorite
29,Polycarbonate,N/A,Potassium Hypochlorite
30,Polyetherether Ketone (PEEK),N/A,Potassium Hypochlorite
31,Polypropylene,N/A,Potassium Hypochlorite
32,Polyurethane,B - Good,Potassium Hypochlorite
33,PPS (Ryton®),A - Excellent,Potassium Hypochlorite
34,PTFE,A2 - Excellent,Potassium Hypochlorite
35,PVC,B1 - Good,Potassium Hypochlorite
36,PVDF (Kynar®),A1 - Excellent,Potassium Hypochlorite
37,Silicone,N/A,Potassium Hypochlorite
38,stainless steel - 304,C1 - Fair,Potassium Hypochlorite
39,stainless steel - 316,B - Good,Potassium Hypochlorite
40,Titanium,A1 - Excellent,Potassium Hypochlorite
41,Tygon®,B1 - Good,Potassium Hypochlorite
42,Viton®,N/A,Potassium Hypochlorite
