,material,compatibility,chemical
0,,,Potassium Iodide
1,ABS plastic,B - Good,Potassium Iodide
2,Acetal (Delrin®),N/A,Potassium Iodide
3,Aluminum,B1 - Good,Potassium Iodide
4,Brass,N/A,Potassium Iodide
5,Bronze,A1 - Excellent,Potassium Iodide
6,Buna N (Nitrile),A1 - Excellent,Potassium Iodide
7,Carbon graphite,A1 - Excellent,Potassium Iodide
8,Carbon Steel,N/A,Potassium Iodide
9,Carpenter 20,A - Excellent,Potassium Iodide
10,Cast iron,A - Excellent,Potassium Iodide
11,Ceramic Al203,B - Good,Potassium Iodide
12,Ceramic magnet,N/A,Potassium Iodide
13,ChemRaz (FFKM),A - Excellent,Potassium Iodide
14,Copper,A1 - Excellent,Potassium Iodide
15,CPVC,A - Excellent,Potassium Iodide
16,EPDM,A - Excellent,Potassium Iodide
17,Epoxy,N/A,Potassium Iodide
18,Fluorocarbon (FKM),A - Excellent,Potassium Iodide
19,Hastelloy-C®,A2 - Excellent,Potassium Iodide
20,Hypalon®,A2 - Excellent,Potassium Iodide
21,Hytrel®,N/A,Potassium Iodide
22,Kalrez,A - Excellent,Potassium Iodide
23,Kel-F®,N/A,Potassium Iodide
24,LDPE,B1 - Good,Potassium Iodide
25,Natural rubber,B - Good,Potassium Iodide
26,Neoprene,A - Excellent,Potassium Iodide
27,NORYL®,N/A,Potassium Iodide
28,Nylon,A1 - Excellent,Potassium Iodide
29,Polycarbonate,N/A,Potassium Iodide
30,Polyetherether Ketone (PEEK),N/A,Potassium Iodide
31,Polypropylene,A2 - Excellent,Potassium Iodide
32,Polyurethane,N/A,Potassium Iodide
33,PPS (Ryton®),A2 - Excellent,Potassium Iodide
34,PTFE,A2 - Excellent,Potassium Iodide
35,PVC,A2 - Excellent,Potassium Iodide
36,PVDF (Kynar®),A2 - Excellent,Potassium Iodide
37,Silicone,N/A,Potassium Iodide
38,stainless steel - 304,A1 - Excellent,Potassium Iodide
39,stainless steel - 316,A1 - Excellent,Potassium Iodide
40,Titanium,A1 - Excellent,Potassium Iodide
41,Tygon®,B - Good,Potassium Iodide
42,Viton®,A - Excellent,Potassium Iodide
