,material,compatibility,chemical
0,,,Potassium Nitrate
1,ABS plastic,B - Good,Potassium Nitrate
2,Acetal (Delrin®),A - Excellent,Potassium Nitrate
3,Aluminum,B - Good,Potassium Nitrate
4,Brass,B - Good,Potassium Nitrate
5,Bronze,B1 - Good,Potassium Nitrate
6,Buna N (Nitrile),A2 - Excellent,Potassium Nitrate
7,Carbon graphite,A - Excellent,Potassium Nitrate
8,Carbon Steel,B - Good,Potassium Nitrate
9,Carpenter 20,B - Good,Potassium Nitrate
10,Cast iron,A - Excellent,Potassium Nitrate
11,Ceramic Al203,B - Good,Potassium Nitrate
12,Ceramic magnet,N/A,Potassium Nitrate
13,ChemRaz (FFKM),A - Excellent,Potassium Nitrate
14,Copper,A - Excellent,Potassium Nitrate
15,CPVC,A - Excellent,Potassium Nitrate
16,EPDM,A - Excellent,Potassium Nitrate
17,Epoxy,A - Excellent,Potassium Nitrate
18,Fluorocarbon (FKM),A - Excellent,Potassium Nitrate
19,Hastelloy-C®,B1 - Good,Potassium Nitrate
20,Hypalon®,A - Excellent,Potassium Nitrate
21,Hytrel®,B - Good,Potassium Nitrate
22,Kalrez,A - Excellent,Potassium Nitrate
23,Kel-F®,N/A,Potassium Nitrate
24,LDPE,A - Excellent,Potassium Nitrate
25,Natural rubber,A - Excellent,Potassium Nitrate
26,Neoprene,A - Excellent,Potassium Nitrate
27,NORYL®,A1 - Excellent,Potassium Nitrate
28,Nylon,B1 - Good,Potassium Nitrate
29,Polycarbonate,A1 - Excellent,Potassium Nitrate
30,Polyetherether Ketone (PEEK),A - Excellent,Potassium Nitrate
31,Polypropylene,A - Excellent,Potassium Nitrate
32,Polyurethane,A - Excellent,Potassium Nitrate
33,PPS (Ryton®),A - Excellent,Potassium Nitrate
34,PTFE,A - Excellent,Potassium Nitrate
35,PVC,A - Excellent,Potassium Nitrate
36,PVDF (Kynar®),A - Excellent,Potassium Nitrate
37,Silicone,A - Excellent,Potassium Nitrate
38,stainless steel - 304,B - Good,Potassium Nitrate
39,stainless steel - 316,B - Good,Potassium Nitrate
40,Titanium,A - Excellent,Potassium Nitrate
41,Tygon®,A - Excellent,Potassium Nitrate
42,Viton®,A - Excellent,Potassium Nitrate
