,material,compatibility,chemical
0,,,Potassium Oxalate
1,ABS plastic,B - Good,Potassium Oxalate
2,Acetal (Delrin®),A - Excellent,Potassium Oxalate
3,Aluminum,B - Good,Potassium Oxalate
4,Brass,B - Good,Potassium Oxalate
5,Bronze,B1 - Good,Potassium Oxalate
6,Buna N (Nitrile),A2 - Excellent,Potassium Oxalate
7,Carbon graphite,A - Excellent,Potassium Oxalate
8,Carbon Steel,B - Good,Potassium Oxalate
9,Carpenter 20,B - Good,Potassium Oxalate
10,Cast iron,A - Excellent,Potassium Oxalate
11,Ceramic Al203,B - Good,Potassium Oxalate
12,Ceramic magnet,N/A,Potassium Oxalate
13,ChemRaz (FFKM),A - Excellent,Potassium Oxalate
14,Copper,A - Excellent,Potassium Oxalate
15,CPVC,A - Excellent,Potassium Oxalate
16,EPDM,A - Excellent,Potassium Oxalate
17,Epoxy,A - Excellent,Potassium Oxalate
18,Fluorocarbon (FKM),A - Excellent,Potassium Oxalate
19,Hastelloy-C®,B1 - Good,Potassium Oxalate
20,Hypalon®,A - Excellent,Potassium Oxalate
21,Hytrel®,B - Good,Potassium Oxalate
22,Kalrez,A - Excellent,Potassium Oxalate
23,Kel-F®,N/A,Potassium Oxalate
24,LDPE,A - Excellent,Potassium Oxalate
25,Natural rubber,A - Excellent,Potassium Oxalate
26,Neoprene,A - Excellent,Potassium Oxalate
27,NORYL®,A1 - Excellent,Potassium Oxalate
28,Nylon,B1 - Good,Potassium Oxalate
29,Polycarbonate,A1 - Excellent,Potassium Oxalate
30,Polyetherether Ketone (PEEK),A - Excellent,Potassium Oxalate
31,Polypropylene,A - Excellent,Potassium Oxalate
32,Polyurethane,A - Excellent,Potassium Oxalate
33,PPS (Ryton®),A - Excellent,Potassium Oxalate
34,PTFE,A - Excellent,Potassium Oxalate
35,PVC,A - Excellent,Potassium Oxalate
36,PVDF (Kynar®),A - Excellent,Potassium Oxalate
37,Silicone,A - Excellent,Potassium Oxalate
38,stainless steel - 304,B - Good,Potassium Oxalate
39,stainless steel - 316,B - Good,Potassium Oxalate
40,Titanium,A - Excellent,Potassium Oxalate
41,Tygon®,A - Excellent,Potassium Oxalate
42,Viton®,A - Excellent,Potassium Oxalate
