,material,compatibility,chemical
0,,,Potassium Permanganate
1,ABS plastic,B1 - Good,Potassium Permanganate
2,Acetal (Delrin®),A - Excellent,Potassium Permanganate
3,Aluminum,B1 - Good,Potassium Permanganate
4,Brass,N/A,Potassium Permanganate
5,Bronze,A1 - Excellent,Potassium Permanganate
6,Buna N (Nitrile),C - Fair,Potassium Permanganate
7,Carbon graphite,B1 - Good,Potassium Permanganate
8,Carbon Steel,B - Good,Potassium Permanganate
9,Carpenter 20,B - Good,Potassium Permanganate
10,Cast iron,A - Excellent,Potassium Permanganate
11,Ceramic Al203,A - Excellent,Potassium Permanganate
12,Ceramic magnet,N/A,Potassium Permanganate
13,ChemRaz (FFKM),A - Excellent,Potassium Permanganate
14,Copper,A - Excellent,Potassium Permanganate
15,CPVC,A1 - Excellent,Potassium Permanganate
16,EPDM,A - Excellent,Potassium Permanganate
17,Epoxy,A - Excellent,Potassium Permanganate
18,Fluorocarbon (FKM),A - Excellent,Potassium Permanganate
19,Hastelloy-C®,A1 - Excellent,Potassium Permanganate
20,Hypalon®,N/A,Potassium Permanganate
21,Hytrel®,D - Poor,Potassium Permanganate
22,Kalrez,A - Excellent,Potassium Permanganate
23,Kel-F®,N/A,Potassium Permanganate
24,LDPE,A - Excellent,Potassium Permanganate
25,Natural rubber,A1 - Excellent,Potassium Permanganate
26,Neoprene,A - Excellent,Potassium Permanganate
27,NORYL®,A - Excellent,Potassium Permanganate
28,Nylon,D - Poor,Potassium Permanganate
29,Polycarbonate,A2 - Excellent,Potassium Permanganate
30,Polyetherether Ketone (PEEK),A - Excellent,Potassium Permanganate
31,Polypropylene,A1 - Excellent,Potassium Permanganate
32,Polyurethane,B - Good,Potassium Permanganate
33,PPS (Ryton®),A - Excellent,Potassium Permanganate
34,PTFE,A - Excellent,Potassium Permanganate
35,PVC,A1 - Excellent,Potassium Permanganate
36,PVDF (Kynar®),A - Excellent,Potassium Permanganate
37,Silicone,N/A,Potassium Permanganate
38,stainless steel - 304,B1 - Good,Potassium Permanganate
39,stainless steel - 316,B - Good,Potassium Permanganate
40,Titanium,A - Excellent,Potassium Permanganate
41,Tygon®,B - Good,Potassium Permanganate
42,Viton®,A - Excellent,Potassium Permanganate
