,material,compatibility,chemical
0,,,Potassium Sulfate
1,ABS plastic,B - Good,Potassium Sulfate
2,Acetal (Delrin®),B - Good,Potassium Sulfate
3,Aluminum,C - Fair,Potassium Sulfate
4,Brass,D - Poor,Potassium Sulfate
5,Bronze,A1 - Excellent,Potassium Sulfate
6,Buna N (Nitrile),A2 - Excellent,Potassium Sulfate
7,Carbon graphite,A - Excellent,Potassium Sulfate
8,Carbon Steel,B - Good,Potassium Sulfate
9,Carpenter 20,A - Excellent,Potassium Sulfate
10,Cast iron,A - Excellent,Potassium Sulfate
11,Ceramic Al203,A - Excellent,Potassium Sulfate
12,Ceramic magnet,A - Excellent,Potassium Sulfate
13,ChemRaz (FFKM),A - Excellent,Potassium Sulfate
14,Copper,B - Good,Potassium Sulfate
15,CPVC,A - Excellent,Potassium Sulfate
16,EPDM,A1 - Excellent,Potassium Sulfate
17,Epoxy,A - Excellent,Potassium Sulfate
18,Fluorocarbon (FKM),A - Excellent,Potassium Sulfate
19,Hastelloy-C®,B1 - Good,Potassium Sulfate
20,Hypalon®,A - Excellent,Potassium Sulfate
21,Hytrel®,B - Good,Potassium Sulfate
22,Kalrez,A - Excellent,Potassium Sulfate
23,Kel-F®,A1 - Excellent,Potassium Sulfate
24,LDPE,A2 - Excellent,Potassium Sulfate
25,Natural rubber,A - Excellent,Potassium Sulfate
26,Neoprene,A - Excellent,Potassium Sulfate
27,NORYL®,A - Excellent,Potassium Sulfate
28,Nylon,A1 - Excellent,Potassium Sulfate
29,Polycarbonate,A1 - Excellent,Potassium Sulfate
30,Polyetherether Ketone (PEEK),A - Excellent,Potassium Sulfate
31,Polypropylene,A - Excellent,Potassium Sulfate
32,Polyurethane,A - Excellent,Potassium Sulfate
33,PPS (Ryton®),A - Excellent,Potassium Sulfate
34,PTFE,A - Excellent,Potassium Sulfate
35,PVC,A2 - Excellent,Potassium Sulfate
36,PVDF (Kynar®),A - Excellent,Potassium Sulfate
37,Silicone,A - Excellent,Potassium Sulfate
38,stainless steel - 304,B1 - Good,Potassium Sulfate
39,stainless steel - 316,A - Excellent,Potassium Sulfate
40,Titanium,A - Excellent,Potassium Sulfate
41,Tygon®,A - Excellent,Potassium Sulfate
42,Viton®,A2 - Excellent,Potassium Sulfate
