,material,compatibility,chemical
0,,,Potassium Sulfide
1,ABS plastic,B - Good,Potassium Sulfide
2,Acetal (Delrin®),N/A,Potassium Sulfide
3,Aluminum,D - Poor,Potassium Sulfide
4,Brass,N/A,Potassium Sulfide
5,Bronze,D - Poor,Potassium Sulfide
6,Buna N (Nitrile),A - Excellent,Potassium Sulfide
7,Carbon graphite,A - Excellent,Potassium Sulfide
8,Carbon Steel,C - Fair,Potassium Sulfide
9,Carpenter 20,A - Excellent,Potassium Sulfide
10,Cast iron,B - Good,Potassium Sulfide
11,Ceramic Al203,A - Excellent,Potassium Sulfide
12,Ceramic magnet,N/A,Potassium Sulfide
13,ChemRaz (FFKM),A - Excellent,Potassium Sulfide
14,Copper,D - Poor,Potassium Sulfide
15,CPVC,A2 - Excellent,Potassium Sulfide
16,EPDM,A - Excellent,Potassium Sulfide
17,Epoxy,N/A,Potassium Sulfide
18,Fluorocarbon (FKM),A - Excellent,Potassium Sulfide
19,Hastelloy-C®,N/A,Potassium Sulfide
20,Hypalon®,B - Good,Potassium Sulfide
21,Hytrel®,N/A,Potassium Sulfide
22,Kalrez,A - Excellent,Potassium Sulfide
23,Kel-F®,A - Excellent,Potassium Sulfide
24,LDPE,A2 - Excellent,Potassium Sulfide
25,Natural rubber,B - Good,Potassium Sulfide
26,Neoprene,A - Excellent,Potassium Sulfide
27,NORYL®,A - Excellent,Potassium Sulfide
28,Nylon,A - Excellent,Potassium Sulfide
29,Polycarbonate,N/A,Potassium Sulfide
30,Polyetherether Ketone (PEEK),A - Excellent,Potassium Sulfide
31,Polypropylene,A - Excellent,Potassium Sulfide
32,Polyurethane,A - Excellent,Potassium Sulfide
33,PPS (Ryton®),A - Excellent,Potassium Sulfide
34,PTFE,A - Excellent,Potassium Sulfide
35,PVC,A2 - Excellent,Potassium Sulfide
36,PVDF (Kynar®),A - Excellent,Potassium Sulfide
37,Silicone,A - Excellent,Potassium Sulfide
38,stainless steel - 304,B - Good,Potassium Sulfide
39,stainless steel - 316,B - Good,Potassium Sulfide
40,Titanium,A - Excellent,Potassium Sulfide
41,Tygon®,N/A,Potassium Sulfide
42,Viton®,A - Excellent,Potassium Sulfide
