,material,compatibility,chemical
0,,,Propane (liquefied)
1,ABS plastic,N/A,Propane (liquefied)
2,Acetal (Delrin®),A - Excellent,Propane (liquefied)
3,Aluminum,A - Excellent,Propane (liquefied)
4,Brass,A - Excellent,Propane (liquefied)
5,Bronze,A2 - Excellent,Propane (liquefied)
6,Buna N (Nitrile),A - Excellent,Propane (liquefied)
7,Carbon graphite,A - Excellent,Propane (liquefied)
8,Carbon Steel,B - Good,Propane (liquefied)
9,Carpenter 20,A - Excellent,Propane (liquefied)
10,Cast iron,A - Excellent,Propane (liquefied)
11,Ceramic Al203,N/A,Propane (liquefied)
12,Ceramic magnet,N/A,Propane (liquefied)
13,ChemRaz (FFKM),A - Excellent,Propane (liquefied)
14,Copper,A - Excellent,Propane (liquefied)
15,CPVC,A1 - Excellent,Propane (liquefied)
16,EPDM,D - Poor,Propane (liquefied)
17,Epoxy,A - Excellent,Propane (liquefied)
18,Fluorocarbon (FKM),A - Excellent,Propane (liquefied)
19,Hastelloy-C®,A - Excellent,Propane (liquefied)
20,Hypalon®,N/A,Propane (liquefied)
21,Hytrel®,A - Excellent,Propane (liquefied)
22,Kalrez,A - Excellent,Propane (liquefied)
23,Kel-F®,A - Excellent,Propane (liquefied)
24,LDPE,C1 - Fair,Propane (liquefied)
25,Natural rubber,D - Poor,Propane (liquefied)
26,Neoprene,C - Fair,Propane (liquefied)
27,NORYL®,A1 - Excellent,Propane (liquefied)
28,Nylon,A1 - Excellent,Propane (liquefied)
29,Polycarbonate,C1 - Fair,Propane (liquefied)
30,Polyetherether Ketone (PEEK),A - Excellent,Propane (liquefied)
31,Polypropylene,A - Excellent,Propane (liquefied)
32,Polyurethane,C - Fair,Propane (liquefied)
33,PPS (Ryton®),N/A,Propane (liquefied)
34,PTFE,A - Excellent,Propane (liquefied)
35,PVC,A1 - Excellent,Propane (liquefied)
36,PVDF (Kynar®),A - Excellent,Propane (liquefied)
37,Silicone,D - Poor,Propane (liquefied)
38,stainless steel - 304,A - Excellent,Propane (liquefied)
39,stainless steel - 316,A - Excellent,Propane (liquefied)
40,Titanium,N/A,Propane (liquefied)
41,Tygon®,N/A,Propane (liquefied)
42,Viton®,A - Excellent,Propane (liquefied)
