,material,compatibility,chemical
0,,,Propylene Glycol
1,ABS plastic,B - Good,Propylene Glycol
2,Acetal (Delrin®),B - Good,Propylene Glycol
3,Aluminum,B - Good,Propylene Glycol
4,Brass,N/A,Propylene Glycol
5,Bronze,A - Excellent,Propylene Glycol
6,Buna N (Nitrile),A - Excellent,Propylene Glycol
7,Carbon graphite,N/A,Propylene Glycol
8,Carbon Steel,B - Good,Propylene Glycol
9,Carpenter 20,A - Excellent,Propylene Glycol
10,Cast iron,A - Excellent,Propylene Glycol
11,Ceramic Al203,A - Excellent,Propylene Glycol
12,Ceramic magnet,A - Excellent,Propylene Glycol
13,ChemRaz (FFKM),A - Excellent,Propylene Glycol
14,Copper,A - Excellent,Propylene Glycol
15,CPVC,C1 - Fair,Propylene Glycol
16,EPDM,A - Excellent,Propylene Glycol
17,Epoxy,B - Good,Propylene Glycol
18,Fluorocarbon (FKM),A - Excellent,Propylene Glycol
19,Hastelloy-C®,B - Good,Propylene Glycol
20,Hypalon®,A - Excellent,Propylene Glycol
21,Hytrel®,N/A,Propylene Glycol
22,Kalrez,A - Excellent,Propylene Glycol
23,Kel-F®,N/A,Propylene Glycol
24,LDPE,B2 - Good,Propylene Glycol
25,Natural rubber,A - Excellent,Propylene Glycol
26,Neoprene,C - Fair,Propylene Glycol
27,NORYL®,N/A,Propylene Glycol
28,Nylon,A - Excellent,Propylene Glycol
29,Polycarbonate,B1 - Good,Propylene Glycol
30,Polyetherether Ketone (PEEK),N/A,Propylene Glycol
31,Polypropylene,A2 - Excellent,Propylene Glycol
32,Polyurethane,B - Good,Propylene Glycol
33,PPS (Ryton®),N/A,Propylene Glycol
34,PTFE,A - Excellent,Propylene Glycol
35,PVC,C1 - Fair,Propylene Glycol
36,PVDF (Kynar®),N/A,Propylene Glycol
37,Silicone,A - Excellent,Propylene Glycol
38,stainless steel - 304,B - Good,Propylene Glycol
39,stainless steel - 316,B - Good,Propylene Glycol
40,Titanium,A - Excellent,Propylene Glycol
41,Tygon®,N/A,Propylene Glycol
42,Viton®,A - Excellent,Propylene Glycol
