,material,compatibility,chemical
0,,,Pyridine
1,ABS plastic,N/A,Pyridine
2,Acetal (Delrin®),B - Good,Pyridine
3,Aluminum,B - Good,Pyridine
4,Brass,B - Good,Pyridine
5,Bronze,B - Good,Pyridine
6,Buna N (Nitrile),D - Poor,Pyridine
7,Carbon graphite,A - Excellent,Pyridine
8,Carbon Steel,A - Excellent,Pyridine
9,Carpenter 20,A - Excellent,Pyridine
10,Cast iron,A - Excellent,Pyridine
11,Ceramic Al203,A - Excellent,Pyridine
12,Ceramic magnet,N/A,Pyridine
13,ChemRaz (FFKM),A - Excellent,Pyridine
14,Copper,B - Good,Pyridine
15,CPVC,D - Poor,Pyridine
16,EPDM,B - Good,Pyridine
17,Epoxy,A - Excellent,Pyridine
18,Fluorocarbon (FKM),D - Poor,Pyridine
19,Hastelloy-C®,B - Good,Pyridine
20,Hypalon®,D - Poor,Pyridine
21,Hytrel®,C - Fair,Pyridine
22,Kalrez,A - Excellent,Pyridine
23,Kel-F®,A1 - Excellent,Pyridine
24,LDPE,B1 - Good,Pyridine
25,Natural rubber,D - Poor,Pyridine
26,Neoprene,D - Poor,Pyridine
27,NORYL®,B - Good,Pyridine
28,Nylon,C1 - Fair,Pyridine
29,Polycarbonate,D - Poor,Pyridine
30,Polyetherether Ketone (PEEK),A - Excellent,Pyridine
31,Polypropylene,A2 - Excellent,Pyridine
32,Polyurethane,D - Poor,Pyridine
33,PPS (Ryton®),A - Excellent,Pyridine
34,PTFE,A - Excellent,Pyridine
35,PVC,D - Poor,Pyridine
36,PVDF (Kynar®),D - Poor,Pyridine
37,Silicone,D - Poor,Pyridine
38,stainless steel - 304,A - Excellent,Pyridine
39,stainless steel - 316,A - Excellent,Pyridine
40,Titanium,B - Good,Pyridine
41,Tygon®,D - Poor,Pyridine
42,Viton®,D - Poor,Pyridine
