,material,compatibility,chemical
0,,,Pyrogallic Acid
1,ABS plastic,N/A,Pyrogallic Acid
2,Acetal (Delrin®),D - Poor,Pyrogallic Acid
3,Aluminum,B - Good,Pyrogallic Acid
4,Brass,N/A,Pyrogallic Acid
5,Bronze,A - Excellent,Pyrogallic Acid
6,Buna N (Nitrile),N/A,Pyrogallic Acid
7,Carbon graphite,A - Excellent,Pyrogallic Acid
8,Carbon Steel,B - Good,Pyrogallic Acid
9,Carpenter 20,B - Good,Pyrogallic Acid
10,Cast iron,D - Poor,Pyrogallic Acid
11,Ceramic Al203,N/A,Pyrogallic Acid
12,Ceramic magnet,N/A,Pyrogallic Acid
13,ChemRaz (FFKM),A - Excellent,Pyrogallic Acid
14,Copper,B - Good,Pyrogallic Acid
15,CPVC,A - Excellent,Pyrogallic Acid
16,EPDM,B - Good,Pyrogallic Acid
17,Epoxy,A - Excellent,Pyrogallic Acid
18,Fluorocarbon (FKM),A - Excellent,Pyrogallic Acid
19,Hastelloy-C®,B - Good,Pyrogallic Acid
20,Hypalon®,N/A,Pyrogallic Acid
21,Hytrel®,N/A,Pyrogallic Acid
22,Kalrez,A - Excellent,Pyrogallic Acid
23,Kel-F®,A - Excellent,Pyrogallic Acid
24,LDPE,N/A,Pyrogallic Acid
25,Natural rubber,N/A,Pyrogallic Acid
26,Neoprene,A - Excellent,Pyrogallic Acid
27,NORYL®,N/A,Pyrogallic Acid
28,Nylon,N/A,Pyrogallic Acid
29,Polycarbonate,N/A,Pyrogallic Acid
30,Polyetherether Ketone (PEEK),N/A,Pyrogallic Acid
31,Polypropylene,A - Excellent,Pyrogallic Acid
32,Polyurethane,D - Poor,Pyrogallic Acid
33,PPS (Ryton®),N/A,Pyrogallic Acid
34,PTFE,A - Excellent,Pyrogallic Acid
35,PVC,A - Excellent,Pyrogallic Acid
36,PVDF (Kynar®),A - Excellent,Pyrogallic Acid
37,Silicone,N/A,Pyrogallic Acid
38,stainless steel - 304,B2 - Good,Pyrogallic Acid
39,stainless steel - 316,B - Good,Pyrogallic Acid
40,Titanium,A - Excellent,Pyrogallic Acid
41,Tygon®,N/A,Pyrogallic Acid
42,Viton®,A - Excellent,Pyrogallic Acid
