,material,compatibility,chemical
0,,,Rosins
1,ABS plastic,N/A,Rosins
2,Acetal (Delrin®),B - Good,Rosins
3,Aluminum,B1 - Good,Rosins
4,Brass,N/A,Rosins
5,Bronze,B - Good,Rosins
6,Buna N (Nitrile),A2 - Excellent,Rosins
7,Carbon graphite,A - Excellent,Rosins
8,Carbon Steel,C - Fair,Rosins
9,Carpenter 20,B - Good,Rosins
10,Cast iron,D - Poor,Rosins
11,Ceramic Al203,N/A,Rosins
12,Ceramic magnet,N/A,Rosins
13,ChemRaz (FFKM),A - Excellent,Rosins
14,Copper,B - Good,Rosins
15,CPVC,C1 - Fair,Rosins
16,EPDM,N/A,Rosins
17,Epoxy,A - Excellent,Rosins
18,Fluorocarbon (FKM),A - Excellent,Rosins
19,Hastelloy-C®,N/A,Rosins
20,Hypalon®,B - Good,Rosins
21,Hytrel®,N/A,Rosins
22,Kalrez,N/A,Rosins
23,Kel-F®,A - Excellent,Rosins
24,LDPE,B1 - Good,Rosins
25,Natural rubber,N/A,Rosins
26,Neoprene,A - Excellent,Rosins
27,NORYL®,N/A,Rosins
28,Nylon,A1 - Excellent,Rosins
29,Polycarbonate,N/A,Rosins
30,Polyetherether Ketone (PEEK),N/A,Rosins
31,Polypropylene,A2 - Excellent,Rosins
32,Polyurethane,D - Poor,Rosins
33,PPS (Ryton®),N/A,Rosins
34,PTFE,A - Excellent,Rosins
35,PVC,C1 - Fair,Rosins
36,PVDF (Kynar®),N/A,Rosins
37,Silicone,A - Excellent,Rosins
38,stainless steel - 304,A1 - Excellent,Rosins
39,stainless steel - 316,A1 - Excellent,Rosins
40,Titanium,N/A,Rosins
41,Tygon®,N/A,Rosins
42,Viton®,A - Excellent,Rosins
