,material,compatibility,chemical
0,,,Rum
1,ABS plastic,N/A,Rum
2,Acetal (Delrin®),A - Excellent,Rum
3,Aluminum,N/A,Rum
4,Brass,N/A,Rum
5,Bronze,A - Excellent,Rum
6,Buna N (Nitrile),A - Excellent,Rum
7,Carbon graphite,N/A,Rum
8,Carbon Steel,N/A,Rum
9,Carpenter 20,N/A,Rum
10,Cast iron,N/A,Rum
11,Ceramic Al203,N/A,Rum
12,Ceramic magnet,N/A,Rum
13,ChemRaz (FFKM),N/A,Rum
14,Copper,N/A,Rum
15,CPVC,A - Excellent,Rum
16,EPDM,A - Excellent,Rum
17,Epoxy,A - Excellent,Rum
18,Fluorocarbon (FKM),A - Excellent,Rum
19,Hastelloy-C®,N/A,Rum
20,Hypalon®,A - Excellent,Rum
21,Hytrel®,N/A,Rum
22,Kalrez,N/A,Rum
23,Kel-F®,N/A,Rum
24,LDPE,N/A,Rum
25,Natural rubber,A - Excellent,Rum
26,Neoprene,A - Excellent,Rum
27,NORYL®,A - Excellent,Rum
28,Nylon,A - Excellent,Rum
29,Polycarbonate,N/A,Rum
30,Polyetherether Ketone (PEEK),N/A,Rum
31,Polypropylene,A - Excellent,Rum
32,Polyurethane,D - Poor,Rum
33,PPS (Ryton®),N/A,Rum
34,PTFE,N/A,Rum
35,PVC,A - Excellent,Rum
36,PVDF (Kynar®),N/A,Rum
37,Silicone,A - Excellent,Rum
38,stainless steel - 304,A - Excellent,Rum
39,stainless steel - 316,A - Excellent,Rum
40,Titanium,N/A,Rum
41,Tygon®,N/A,Rum
42,Viton®,A - Excellent,Rum
