,material,compatibility,chemical
0,,,Rust Inhibitors
1,ABS plastic,N/A,Rust Inhibitors
2,Acetal (Delrin®),A - Excellent,Rust Inhibitors
3,Aluminum,N/A,Rust Inhibitors
4,Brass,N/A,Rust Inhibitors
5,Bronze,A - Excellent,Rust Inhibitors
6,Buna N (Nitrile),A - Excellent,Rust Inhibitors
7,Carbon graphite,N/A,Rust Inhibitors
8,Carbon Steel,N/A,Rust Inhibitors
9,Carpenter 20,B - Good,Rust Inhibitors
10,Cast iron,C - Fair,Rust Inhibitors
11,Ceramic Al203,N/A,Rust Inhibitors
12,Ceramic magnet,N/A,Rust Inhibitors
13,ChemRaz (FFKM),N/A,Rust Inhibitors
14,Copper,N/A,Rust Inhibitors
15,CPVC,N/A,Rust Inhibitors
16,EPDM,N/A,Rust Inhibitors
17,Epoxy,A - Excellent,Rust Inhibitors
18,Fluorocarbon (FKM),A - Excellent,Rust Inhibitors
19,Hastelloy-C®,N/A,Rust Inhibitors
20,Hypalon®,N/A,Rust Inhibitors
21,Hytrel®,N/A,Rust Inhibitors
22,Kalrez,N/A,Rust Inhibitors
23,Kel-F®,N/A,Rust Inhibitors
24,LDPE,N/A,Rust Inhibitors
25,Natural rubber,N/A,Rust Inhibitors
26,Neoprene,C - Fair,Rust Inhibitors
27,NORYL®,N/A,Rust Inhibitors
28,Nylon,N/A,Rust Inhibitors
29,Polycarbonate,N/A,Rust Inhibitors
30,Polyetherether Ketone (PEEK),N/A,Rust Inhibitors
31,Polypropylene,A - Excellent,Rust Inhibitors
32,Polyurethane,A - Excellent,Rust Inhibitors
33,PPS (Ryton®),N/A,Rust Inhibitors
34,PTFE,N/A,Rust Inhibitors
35,PVC,N/A,Rust Inhibitors
36,PVDF (Kynar®),N/A,Rust Inhibitors
37,Silicone,N/A,Rust Inhibitors
38,stainless steel - 304,A - Excellent,Rust Inhibitors
39,stainless steel - 316,A - Excellent,Rust Inhibitors
40,Titanium,N/A,Rust Inhibitors
41,Tygon®,N/A,Rust Inhibitors
42,Viton®,A - Excellent,Rust Inhibitors
