,material,compatibility,chemical
0,,,Salad Dressings
1,ABS plastic,N/A,Salad Dressings
2,Acetal (Delrin®),A - Excellent,Salad Dressings
3,Aluminum,B - Good,Salad Dressings
4,Brass,N/A,Salad Dressings
5,Bronze,N/A,Salad Dressings
6,Buna N (Nitrile),A - Excellent,Salad Dressings
7,Carbon graphite,N/A,Salad Dressings
8,Carbon Steel,N/A,Salad Dressings
9,Carpenter 20,B - Good,Salad Dressings
10,Cast iron,D - Poor,Salad Dressings
11,Ceramic Al203,N/A,Salad Dressings
12,Ceramic magnet,N/A,Salad Dressings
13,ChemRaz (FFKM),N/A,Salad Dressings
14,Copper,N/A,Salad Dressings
15,CPVC,N/A,Salad Dressings
16,EPDM,N/A,Salad Dressings
17,Epoxy,A - Excellent,Salad Dressings
18,Fluorocarbon (FKM),N/A,Salad Dressings
19,Hastelloy-C®,N/A,Salad Dressings
20,Hypalon®,N/A,Salad Dressings
21,Hytrel®,N/A,Salad Dressings
22,Kalrez,N/A,Salad Dressings
23,Kel-F®,N/A,Salad Dressings
24,LDPE,N/A,Salad Dressings
25,Natural rubber,N/A,Salad Dressings
26,Neoprene,N/A,Salad Dressings
27,NORYL®,A - Excellent,Salad Dressings
28,Nylon,A - Excellent,Salad Dressings
29,Polycarbonate,N/A,Salad Dressings
30,Polyetherether Ketone (PEEK),N/A,Salad Dressings
31,Polypropylene,A - Excellent,Salad Dressings
32,Polyurethane,N/A,Salad Dressings
33,PPS (Ryton®),N/A,Salad Dressings
34,PTFE,N/A,Salad Dressings
35,PVC,N/A,Salad Dressings
36,PVDF (Kynar®),N/A,Salad Dressings
37,Silicone,N/A,Salad Dressings
38,stainless steel - 304,A - Excellent,Salad Dressings
39,stainless steel - 316,A - Excellent,Salad Dressings
40,Titanium,N/A,Salad Dressings
41,Tygon®,N/A,Salad Dressings
42,Viton®,A - Excellent,Salad Dressings
