,material,compatibility,chemical
0,,,Salicylic Acid
1,ABS plastic,N/A,Salicylic Acid
2,Acetal (Delrin®),A - Excellent,Salicylic Acid
3,Aluminum,B - Good,Salicylic Acid
4,Brass,N/A,Salicylic Acid
5,Bronze,N/A,Salicylic Acid
6,Buna N (Nitrile),A - Excellent,Salicylic Acid
7,Carbon graphite,N/A,Salicylic Acid
8,Carbon Steel,N/A,Salicylic Acid
9,Carpenter 20,B - Good,Salicylic Acid
10,Cast iron,D - Poor,Salicylic Acid
11,Ceramic Al203,N/A,Salicylic Acid
12,Ceramic magnet,N/A,Salicylic Acid
13,ChemRaz (FFKM),N/A,Salicylic Acid
14,Copper,N/A,Salicylic Acid
15,CPVC,N/A,Salicylic Acid
16,EPDM,N/A,Salicylic Acid
17,Epoxy,A - Excellent,Salicylic Acid
18,Fluorocarbon (FKM),N/A,Salicylic Acid
19,Hastelloy-C®,N/A,Salicylic Acid
20,Hypalon®,N/A,Salicylic Acid
21,Hytrel®,N/A,Salicylic Acid
22,Kalrez,N/A,Salicylic Acid
23,Kel-F®,N/A,Salicylic Acid
24,LDPE,N/A,Salicylic Acid
25,Natural rubber,N/A,Salicylic Acid
26,Neoprene,N/A,Salicylic Acid
27,NORYL®,A - Excellent,Salicylic Acid
28,Nylon,A - Excellent,Salicylic Acid
29,Polycarbonate,N/A,Salicylic Acid
30,Polyetherether Ketone (PEEK),N/A,Salicylic Acid
31,Polypropylene,A - Excellent,Salicylic Acid
32,Polyurethane,N/A,Salicylic Acid
33,PPS (Ryton®),N/A,Salicylic Acid
34,PTFE,N/A,Salicylic Acid
35,PVC,N/A,Salicylic Acid
36,PVDF (Kynar®),N/A,Salicylic Acid
37,Silicone,N/A,Salicylic Acid
38,stainless steel - 304,A - Excellent,Salicylic Acid
39,stainless steel - 316,A - Excellent,Salicylic Acid
40,Titanium,N/A,Salicylic Acid
41,Tygon®,N/A,Salicylic Acid
42,Viton®,A - Excellent,Salicylic Acid
