,material,compatibility,chemical
0,,,Salt Brine (NaCl saturated)
1,ABS plastic,N/A,Salt Brine (NaCl saturated)
2,Acetal (Delrin®),N/A,Salt Brine (NaCl saturated)
3,Aluminum,B1 - Good,Salt Brine (NaCl saturated)
4,Brass,N/A,Salt Brine (NaCl saturated)
5,Bronze,B2 - Good,Salt Brine (NaCl saturated)
6,Buna N (Nitrile),A - Excellent,Salt Brine (NaCl saturated)
7,Carbon graphite,A2 - Excellent,Salt Brine (NaCl saturated)
8,Carbon Steel,D - Poor,Salt Brine (NaCl saturated)
9,Carpenter 20,B - Good,Salt Brine (NaCl saturated)
10,Cast iron,D - Poor,Salt Brine (NaCl saturated)
11,Ceramic Al203,N/A,Salt Brine (NaCl saturated)
12,Ceramic magnet,N/A,Salt Brine (NaCl saturated)
13,ChemRaz (FFKM),B - Good,Salt Brine (NaCl saturated)
14,Copper,B - Good,Salt Brine (NaCl saturated)
15,CPVC,A2 - Excellent,Salt Brine (NaCl saturated)
16,EPDM,A - Excellent,Salt Brine (NaCl saturated)
17,Epoxy,A - Excellent,Salt Brine (NaCl saturated)
18,Fluorocarbon (FKM),A - Excellent,Salt Brine (NaCl saturated)
19,Hastelloy-C®,A2 - Excellent,Salt Brine (NaCl saturated)
20,Hypalon®,A2 - Excellent,Salt Brine (NaCl saturated)
21,Hytrel®,A1 - Excellent,Salt Brine (NaCl saturated)
22,Kalrez,A - Excellent,Salt Brine (NaCl saturated)
23,Kel-F®,N/A,Salt Brine (NaCl saturated)
24,LDPE,A - Excellent,Salt Brine (NaCl saturated)
25,Natural rubber,A - Excellent,Salt Brine (NaCl saturated)
26,Neoprene,A2 - Excellent,Salt Brine (NaCl saturated)
27,NORYL®,A - Excellent,Salt Brine (NaCl saturated)
28,Nylon,A - Excellent,Salt Brine (NaCl saturated)
29,Polycarbonate,A - Excellent,Salt Brine (NaCl saturated)
30,Polyetherether Ketone (PEEK),A - Excellent,Salt Brine (NaCl saturated)
31,Polypropylene,A - Excellent,Salt Brine (NaCl saturated)
32,Polyurethane,D - Poor,Salt Brine (NaCl saturated)
33,PPS (Ryton®),A - Excellent,Salt Brine (NaCl saturated)
34,PTFE,A2 - Excellent,Salt Brine (NaCl saturated)
35,PVC,A - Excellent,Salt Brine (NaCl saturated)
36,PVDF (Kynar®),A - Excellent,Salt Brine (NaCl saturated)
37,Silicone,A1 - Excellent,Salt Brine (NaCl saturated)
38,stainless steel - 304,B1 - Good,Salt Brine (NaCl saturated)
39,stainless steel - 316,A2 - Excellent,Salt Brine (NaCl saturated)
40,Titanium,A2 - Excellent,Salt Brine (NaCl saturated)
41,Tygon®,N/A,Salt Brine (NaCl saturated)
42,Viton®,A2 - Excellent,Salt Brine (NaCl saturated)
