,material,compatibility,chemical
0,,,Silicone
1,ABS plastic,D - Poor,Silicone
2,Acetal (Delrin®),A - Excellent,Silicone
3,Aluminum,A - Excellent,Silicone
4,Brass,N/A,Silicone
5,Bronze,N/A,Silicone
6,Buna N (Nitrile),A - Excellent,Silicone
7,Carbon graphite,A - Excellent,Silicone
8,Carbon Steel,A - Excellent,Silicone
9,Carpenter 20,A - Excellent,Silicone
10,Cast iron,A - Excellent,Silicone
11,Ceramic Al203,N/A,Silicone
12,Ceramic magnet,N/A,Silicone
13,ChemRaz (FFKM),A - Excellent,Silicone
14,Copper,A - Excellent,Silicone
15,CPVC,A - Excellent,Silicone
16,EPDM,A - Excellent,Silicone
17,Epoxy,A - Excellent,Silicone
18,Fluorocarbon (FKM),A - Excellent,Silicone
19,Hastelloy-C®,N/A,Silicone
20,Hypalon®,A - Excellent,Silicone
21,Hytrel®,A - Excellent,Silicone
22,Kalrez,A - Excellent,Silicone
23,Kel-F®,N/A,Silicone
24,LDPE,N/A,Silicone
25,Natural rubber,C - Fair,Silicone
26,Neoprene,A - Excellent,Silicone
27,NORYL®,A1 - Excellent,Silicone
28,Nylon,A1 - Excellent,Silicone
29,Polycarbonate,A2 - Excellent,Silicone
30,Polyetherether Ketone (PEEK),A - Excellent,Silicone
31,Polypropylene,A - Excellent,Silicone
32,Polyurethane,A - Excellent,Silicone
33,PPS (Ryton®),A1 - Excellent,Silicone
34,PTFE,A - Excellent,Silicone
35,PVC,A - Excellent,Silicone
36,PVDF (Kynar®),A - Excellent,Silicone
37,Silicone,C - Fair,Silicone
38,stainless steel - 304,A - Excellent,Silicone
39,stainless steel - 316,A - Excellent,Silicone
40,Titanium,N/A,Silicone
41,Tygon®,N/A,Silicone
42,Viton®,A - Excellent,Silicone
