,material,compatibility,chemical
0,,,Silver Bromide
1,ABS plastic,N/A,Silver Bromide
2,Acetal (Delrin®),C - Fair,Silver Bromide
3,Aluminum,D - Poor,Silver Bromide
4,Brass,N/A,Silver Bromide
5,Bronze,D - Poor,Silver Bromide
6,Buna N (Nitrile),N/A,Silver Bromide
7,Carbon graphite,N/A,Silver Bromide
8,Carbon Steel,D - Poor,Silver Bromide
9,Carpenter 20,A - Excellent,Silver Bromide
10,Cast iron,D - Poor,Silver Bromide
11,Ceramic Al203,N/A,Silver Bromide
12,Ceramic magnet,N/A,Silver Bromide
13,ChemRaz (FFKM),N/A,Silver Bromide
14,Copper,N/A,Silver Bromide
15,CPVC,N/A,Silver Bromide
16,EPDM,N/A,Silver Bromide
17,Epoxy,A - Excellent,Silver Bromide
18,Fluorocarbon (FKM),N/A,Silver Bromide
19,Hastelloy-C®,A - Excellent,Silver Bromide
20,Hypalon®,N/A,Silver Bromide
21,Hytrel®,N/A,Silver Bromide
22,Kalrez,N/A,Silver Bromide
23,Kel-F®,A - Excellent,Silver Bromide
24,LDPE,A - Excellent,Silver Bromide
25,Natural rubber,N/A,Silver Bromide
26,Neoprene,N/A,Silver Bromide
27,NORYL®,A - Excellent,Silver Bromide
28,Nylon,N/A,Silver Bromide
29,Polycarbonate,N/A,Silver Bromide
30,Polyetherether Ketone (PEEK),N/A,Silver Bromide
31,Polypropylene,N/A,Silver Bromide
32,Polyurethane,N/A,Silver Bromide
33,PPS (Ryton®),N/A,Silver Bromide
34,PTFE,A - Excellent,Silver Bromide
35,PVC,N/A,Silver Bromide
36,PVDF (Kynar®),N/A,Silver Bromide
37,Silicone,N/A,Silver Bromide
38,stainless steel - 304,D - Poor,Silver Bromide
39,stainless steel - 316,D - Poor,Silver Bromide
40,Titanium,N/A,Silver Bromide
41,Tygon®,N/A,Silver Bromide
42,Viton®,N/A,Silver Bromide
