,material,compatibility,chemical
0,,,Silver Nitrate
1,ABS plastic,B - Good,Silver Nitrate
2,Acetal (Delrin®),A - Excellent,Silver Nitrate
3,Aluminum,D - Poor,Silver Nitrate
4,Brass,N/A,Silver Nitrate
5,Bronze,B - Good,Silver Nitrate
6,Buna N (Nitrile),B - Good,Silver Nitrate
7,Carbon graphite,A - Excellent,Silver Nitrate
8,Carbon Steel,D - Poor,Silver Nitrate
9,Carpenter 20,C - Fair,Silver Nitrate
10,Cast iron,C - Fair,Silver Nitrate
11,Ceramic Al203,N/A,Silver Nitrate
12,Ceramic magnet,N/A,Silver Nitrate
13,ChemRaz (FFKM),A - Excellent,Silver Nitrate
14,Copper,N/A,Silver Nitrate
15,CPVC,A1 - Excellent,Silver Nitrate
16,EPDM,A - Excellent,Silver Nitrate
17,Epoxy,A - Excellent,Silver Nitrate
18,Fluorocarbon (FKM),A - Excellent,Silver Nitrate
19,Hastelloy-C®,A - Excellent,Silver Nitrate
20,Hypalon®,A - Excellent,Silver Nitrate
21,Hytrel®,N/A,Silver Nitrate
22,Kalrez,A - Excellent,Silver Nitrate
23,Kel-F®,A - Excellent,Silver Nitrate
24,LDPE,A - Excellent,Silver Nitrate
25,Natural rubber,A - Excellent,Silver Nitrate
26,Neoprene,A - Excellent,Silver Nitrate
27,NORYL®,A - Excellent,Silver Nitrate
28,Nylon,A1 - Excellent,Silver Nitrate
29,Polycarbonate,A2 - Excellent,Silver Nitrate
30,Polyetherether Ketone (PEEK),A - Excellent,Silver Nitrate
31,Polypropylene,A1 - Excellent,Silver Nitrate
32,Polyurethane,A - Excellent,Silver Nitrate
33,PPS (Ryton®),A - Excellent,Silver Nitrate
34,PTFE,A - Excellent,Silver Nitrate
35,PVC,A1 - Excellent,Silver Nitrate
36,PVDF (Kynar®),A - Excellent,Silver Nitrate
37,Silicone,A - Excellent,Silver Nitrate
38,stainless steel - 304,B - Good,Silver Nitrate
39,stainless steel - 316,B - Good,Silver Nitrate
40,Titanium,A - Excellent,Silver Nitrate
41,Tygon®,B - Good,Silver Nitrate
42,Viton®,A - Excellent,Silver Nitrate
