,material,compatibility,chemical
0,,,Soda Ash (see Sodium Carbonate)
1,ABS plastic,B - Good,Soda Ash (see Sodium Carbonate)
2,Acetal (Delrin®),A - Excellent,Soda Ash (see Sodium Carbonate)
3,Aluminum,D - Poor,Soda Ash (see Sodium Carbonate)
4,Brass,N/A,Soda Ash (see Sodium Carbonate)
5,Bronze,B - Good,Soda Ash (see Sodium Carbonate)
6,Buna N (Nitrile),A1 - Excellent,Soda Ash (see Sodium Carbonate)
7,Carbon graphite,N/A,Soda Ash (see Sodium Carbonate)
8,Carbon Steel,B - Good,Soda Ash (see Sodium Carbonate)
9,Carpenter 20,A - Excellent,Soda Ash (see Sodium Carbonate)
10,Cast iron,B - Good,Soda Ash (see Sodium Carbonate)
11,Ceramic Al203,N/A,Soda Ash (see Sodium Carbonate)
12,Ceramic magnet,N/A,Soda Ash (see Sodium Carbonate)
13,ChemRaz (FFKM),A - Excellent,Soda Ash (see Sodium Carbonate)
14,Copper,N/A,Soda Ash (see Sodium Carbonate)
15,CPVC,A - Excellent,Soda Ash (see Sodium Carbonate)
16,EPDM,A2 - Excellent,Soda Ash (see Sodium Carbonate)
17,Epoxy,C - Fair,Soda Ash (see Sodium Carbonate)
18,Fluorocarbon (FKM),A - Excellent,Soda Ash (see Sodium Carbonate)
19,Hastelloy-C®,N/A,Soda Ash (see Sodium Carbonate)
20,Hypalon®,A - Excellent,Soda Ash (see Sodium Carbonate)
21,Hytrel®,B - Good,Soda Ash (see Sodium Carbonate)
22,Kalrez,A - Excellent,Soda Ash (see Sodium Carbonate)
23,Kel-F®,N/A,Soda Ash (see Sodium Carbonate)
24,LDPE,B - Good,Soda Ash (see Sodium Carbonate)
25,Natural rubber,A - Excellent,Soda Ash (see Sodium Carbonate)
26,Neoprene,A1 - Excellent,Soda Ash (see Sodium Carbonate)
27,NORYL®,A - Excellent,Soda Ash (see Sodium Carbonate)
28,Nylon,B - Good,Soda Ash (see Sodium Carbonate)
29,Polycarbonate,A - Excellent,Soda Ash (see Sodium Carbonate)
30,Polyetherether Ketone (PEEK),A - Excellent,Soda Ash (see Sodium Carbonate)
31,Polypropylene,A - Excellent,Soda Ash (see Sodium Carbonate)
32,Polyurethane,B - Good,Soda Ash (see Sodium Carbonate)
33,PPS (Ryton®),A - Excellent,Soda Ash (see Sodium Carbonate)
34,PTFE,A - Excellent,Soda Ash (see Sodium Carbonate)
35,PVC,A - Excellent,Soda Ash (see Sodium Carbonate)
36,PVDF (Kynar®),A - Excellent,Soda Ash (see Sodium Carbonate)
37,Silicone,A - Excellent,Soda Ash (see Sodium Carbonate)
38,stainless steel - 304,A - Excellent,Soda Ash (see Sodium Carbonate)
39,stainless steel - 316,A - Excellent,Soda Ash (see Sodium Carbonate)
40,Titanium,N/A,Soda Ash (see Sodium Carbonate)
41,Tygon®,N/A,Soda Ash (see Sodium Carbonate)
42,Viton®,A - Excellent,Soda Ash (see Sodium Carbonate)
