,material,compatibility,chemical
0,,,Sodium Acetate
1,ABS plastic,B - Good,Sodium Acetate
2,Acetal (Delrin®),B - Good,Sodium Acetate
3,Aluminum,B - Good,Sodium Acetate
4,Brass,B - Good,Sodium Acetate
5,Bronze,B - Good,Sodium Acetate
6,Buna N (Nitrile),B - Good,Sodium Acetate
7,Carbon graphite,A - Excellent,Sodium Acetate
8,Carbon Steel,D - Poor,Sodium Acetate
9,Carpenter 20,A - Excellent,Sodium Acetate
10,Cast iron,B - Good,Sodium Acetate
11,Ceramic Al203,A - Excellent,Sodium Acetate
12,Ceramic magnet,N/A,Sodium Acetate
13,ChemRaz (FFKM),A - Excellent,Sodium Acetate
14,Copper,A - Excellent,Sodium Acetate
15,CPVC,A - Excellent,Sodium Acetate
16,EPDM,A - Excellent,Sodium Acetate
17,Epoxy,A - Excellent,Sodium Acetate
18,Fluorocarbon (FKM),D - Poor,Sodium Acetate
19,Hastelloy-C®,A - Excellent,Sodium Acetate
20,Hypalon®,N/A,Sodium Acetate
21,Hytrel®,N/A,Sodium Acetate
22,Kalrez,A - Excellent,Sodium Acetate
23,Kel-F®,A - Excellent,Sodium Acetate
24,LDPE,A - Excellent,Sodium Acetate
25,Natural rubber,A - Excellent,Sodium Acetate
26,Neoprene,B - Good,Sodium Acetate
27,NORYL®,A1 - Excellent,Sodium Acetate
28,Nylon,B1 - Good,Sodium Acetate
29,Polycarbonate,A1 - Excellent,Sodium Acetate
30,Polyetherether Ketone (PEEK),A - Excellent,Sodium Acetate
31,Polypropylene,A - Excellent,Sodium Acetate
32,Polyurethane,D - Poor,Sodium Acetate
33,PPS (Ryton®),A - Excellent,Sodium Acetate
34,PTFE,A - Excellent,Sodium Acetate
35,PVC,B1 - Good,Sodium Acetate
36,PVDF (Kynar®),A - Excellent,Sodium Acetate
37,Silicone,D - Poor,Sodium Acetate
38,stainless steel - 304,B - Good,Sodium Acetate
39,stainless steel - 316,B1 - Good,Sodium Acetate
40,Titanium,A - Excellent,Sodium Acetate
41,Tygon®,N/A,Sodium Acetate
42,Viton®,D - Poor,Sodium Acetate
